LAT,LON,YEAR,DOY,ALLSKY_SFC_SW_DWN,T2M_MAX,WS2M_MAX,T2M_MIN_x,PRECTOTCORR,RH2M,T2M,WS2M,T2M_MIN_y
23.5,27.5,2024,1,16.88,20.31,3.87,7.04,0.0,58.18,12.77,2.73,7.04
23.5,32.5,2024,1,16.95,24.74,4.42,10.83,0.0,51.28,17.19,3.06,10.83
24.5,27.5,2024,1,16.27,18.79,3.61,6.1,0.0,62.25,11.64,2.39,6.1
24.5,32.5,2024,1,16.46,23.56,4.25,10.0,0.0,56.44,15.96,2.92,10.0
25.5,27.5,2024,1,15.46,18.96,3.26,6.36,0.0,62.0,11.86,1.98,6.36
25.5,32.5,2024,1,15.53,23.45,3.56,9.04,0.0,60.24,15.38,2.45,9.04
26.5,27.5,2024,1,15.22,19.58,3.35,6.87,0.0,58.34,12.37,1.95,6.87
26.5,32.5,2024,1,14.9,22.97,3.3,9.58,0.0,62.35,15.08,2.39,9.58
27.5,27.5,2024,1,14.18,19.48,3.38,7.49,0.0,57.72,12.54,1.87,7.49
27.5,32.5,2024,1,14.69,20.95,3.92,9.02,0.0,67.61,13.68,2.37,9.02
28.5,27.5,2024,1,13.55,19.62,3.14,9.11,0.0,55.22,13.26,1.56,9.11
28.5,32.5,2024,1,14.27,18.15,4.97,9.73,0.0,78.09,12.85,2.85,9.73
29.5,27.5,2024,1,13.13,21.47,2.42,10.83,0.0,53.19,15.21,1.2,10.83
29.5,32.5,2024,1,13.44,19.96,4.44,12.65,0.01,78.31,15.72,3.3,12.65
30.5,27.5,2024,1,11.49,19.36,2.98,10.42,0.0,65.74,13.6,1.38,10.42
30.5,32.5,2024,1,12.13,20.68,2.49,11.22,0.08,80.0,15.34,1.63,11.22
31.5,27.5,2024,1,9.01,19.35,5.33,17.12,0.0,66.41,18.06,4.01,17.12
31.5,32.5,2024,1,9.61,18.92,3.06,18.07,0.07,75.16,18.59,2.45,18.07
23.5,27.5,2024,2,16.98,19.2,4.16,6.01,0.0,51.36,11.72,2.92,6.01
23.5,32.5,2024,2,16.9,23.74,5.27,10.39,0.0,53.31,16.49,3.7,10.39
24.5,27.5,2024,2,16.42,18.41,3.56,5.04,0.0,55.09,10.87,2.4,5.04
24.5,32.5,2024,2,16.48,23.02,5.66,9.66,0.0,55.05,15.54,3.91,9.66
25.5,27.5,2024,2,15.73,18.79,2.92,5.61,0.0,54.77,11.36,1.92,5.61
25.5,32.5,2024,2,15.62,23.64,5.44,8.73,0.0,56.77,15.32,3.48,8.73
26.5,27.5,2024,2,15.14,19.8,2.51,6.08,0.0,54.21,11.99,1.73,6.08
26.5,32.5,2024,2,15.15,22.94,5.36,8.87,0.0,59.73,14.95,3.4,8.87
27.5,27.5,2024,2,15.29,19.84,2.36,6.4,0.0,55.88,12.02,1.63,6.4
27.5,32.5,2024,2,15.15,20.52,5.74,8.23,0.0,68.51,13.37,3.81,8.23
28.5,27.5,2024,2,14.64,19.64,2.34,7.83,0.0,54.59,12.82,1.42,7.83
28.5,32.5,2024,2,14.36,18.49,5.69,8.94,0.0,78.21,12.69,3.46,8.94
29.5,27.5,2024,2,13.66,21.66,2.57,9.41,0.0,52.88,14.6,1.43,9.41
29.5,32.5,2024,2,12.94,19.86,4.81,12.97,0.01,78.33,16.15,3.54,12.97
30.5,27.5,2024,2,13.62,20.09,3.7,7.99,0.0,60.22,12.94,2.2,7.99
30.5,32.5,2024,2,12.37,20.7,3.93,10.64,0.14,82.38,15.16,2.18,10.64
31.5,27.5,2024,2,11.98,19.71,5.62,17.72,0.0,65.47,18.51,4.67,17.72
31.5,32.5,2024,2,10.89,19.63,4.79,17.92,0.3,77.82,18.72,4.06,17.92
23.5,27.5,2024,3,17.36,20.13,4.02,5.8,0.0,54.0,12.13,2.42,5.8
23.5,32.5,2024,3,17.24,24.36,4.4,9.95,0.0,50.06,16.66,2.91,9.95
24.5,27.5,2024,3,16.83,19.32,3.2,5.27,0.0,58.72,11.4,2.04,5.27
24.5,32.5,2024,3,16.78,23.72,3.8,9.44,0.0,54.53,15.67,2.51,9.44
25.5,27.5,2024,3,15.76,19.41,2.69,5.78,0.0,59.96,11.69,1.71,5.78
25.5,32.5,2024,3,16.06,24.3,3.27,8.57,0.0,57.37,15.7,2.08,8.57
26.5,27.5,2024,3,15.13,20.11,2.31,6.01,0.0,60.45,12.11,1.65,6.01
26.5,32.5,2024,3,15.43,23.64,4.32,9.82,0.0,58.92,15.52,2.32,9.82
27.5,27.5,2024,3,15.37,19.86,2.33,6.47,0.0,58.1,12.22,1.63,6.47
27.5,32.5,2024,3,15.4,21.67,5.33,9.67,0.0,66.85,14.05,2.92,9.67
28.5,27.5,2024,3,14.87,19.66,2.43,6.94,0.0,56.79,12.21,1.37,6.94
28.5,32.5,2024,3,14.77,18.7,5.02,9.21,0.0,77.21,13.0,3.41,9.21
29.5,27.5,2024,3,14.08,20.93,2.22,7.56,0.0,51.53,13.59,1.5,7.56
29.5,32.5,2024,3,14.09,19.85,4.23,12.76,0.0,77.97,15.56,3.24,12.76
30.5,27.5,2024,3,13.6,18.66,3.17,6.98,0.0,56.95,11.74,1.99,6.98
30.5,32.5,2024,3,12.69,20.58,2.33,10.89,0.05,79.03,14.81,1.4,10.89
31.5,27.5,2024,3,11.6,18.62,4.47,16.04,0.0,65.57,17.31,4.02,16.04
31.5,32.5,2024,3,9.58,19.34,3.7,18.08,0.04,76.45,18.52,3.36,18.08
23.5,27.5,2024,4,16.78,19.43,5.0,6.67,0.0,55.39,12.02,3.49,6.67
23.5,32.5,2024,4,17.06,24.81,4.68,10.35,0.0,45.46,17.07,2.92,10.35
24.5,27.5,2024,4,15.73,17.94,5.18,5.6,0.0,57.24,10.92,3.2,5.6
24.5,32.5,2024,4,16.66,24.16,4.45,9.24,0.0,48.09,15.96,2.7,9.24
25.5,27.5,2024,4,15.99,18.26,5.09,5.58,0.0,55.44,11.05,2.78,5.58
25.5,32.5,2024,4,15.83,24.13,4.17,8.39,0.0,53.57,15.52,2.61,8.39
26.5,27.5,2024,4,15.2,18.88,5.02,6.17,0.0,53.92,11.31,2.6,6.17
26.5,32.5,2024,4,15.5,23.96,4.08,8.43,0.0,58.08,15.24,2.56,8.43
27.5,27.5,2024,4,15.3,18.7,4.59,6.01,0.0,52.41,11.15,2.42,6.01
27.5,32.5,2024,4,15.49,21.7,4.17,8.13,0.0,63.43,13.66,2.88,8.13
28.5,27.5,2024,4,14.92,18.15,3.92,5.55,0.0,51.47,10.83,2.13,5.55
28.5,32.5,2024,4,14.73,19.27,5.16,8.65,0.0,73.02,12.55,3.08,8.65
29.5,27.5,2024,4,14.3,20.82,3.34,7.23,0.0,44.85,13.03,1.86,7.23
29.5,32.5,2024,4,13.74,19.73,5.37,11.85,0.0,74.07,15.18,3.25,11.85
30.5,27.5,2024,4,13.85,18.96,4.35,6.43,0.0,51.25,11.62,2.46,6.43
30.5,32.5,2024,4,13.4,21.0,3.15,10.3,0.02,74.14,14.84,1.35,10.3
31.5,27.5,2024,4,12.28,19.07,6.08,16.71,0.0,61.74,17.78,4.71,16.71
31.5,32.5,2024,4,10.77,19.39,3.85,18.29,0.02,72.17,18.85,2.98,18.29
23.5,27.5,2024,5,17.86,19.15,5.21,5.48,0.0,42.62,11.07,3.26,5.48
23.5,32.5,2024,5,17.27,24.33,4.4,10.3,0.0,46.46,16.6,3.1,10.3
24.5,27.5,2024,5,17.33,17.89,4.53,4.47,0.0,45.89,10.01,2.84,4.47
24.5,32.5,2024,5,16.83,23.52,4.82,9.4,0.0,47.92,15.41,3.44,9.4
25.5,27.5,2024,5,16.77,17.94,3.4,4.36,0.0,47.73,10.14,2.25,4.36
25.5,32.5,2024,5,16.11,24.09,4.71,8.51,0.0,48.96,15.02,3.3,8.51
26.5,27.5,2024,5,15.93,18.4,3.01,4.47,0.0,50.38,10.49,1.94,4.47
26.5,32.5,2024,5,15.71,24.1,3.83,7.95,0.0,52.41,14.85,2.81,7.95
27.5,27.5,2024,5,15.34,18.53,2.77,4.52,0.0,54.92,10.74,1.79,4.52
27.5,32.5,2024,5,15.75,22.27,4.72,7.07,0.0,58.24,13.22,3.25,7.07
28.5,27.5,2024,5,14.59,18.45,2.59,4.78,0.0,61.87,11.17,1.57,4.78
28.5,32.5,2024,5,15.03,18.67,5.04,6.88,0.0,69.44,11.71,3.33,6.88
29.5,27.5,2024,5,13.34,20.57,2.21,6.63,0.0,63.82,13.19,1.16,6.63
29.5,32.5,2024,5,14.27,19.61,4.2,10.51,0.0,68.65,14.74,3.05,10.51
30.5,27.5,2024,5,12.77,19.7,3.2,6.47,0.0,74.14,12.25,2.02,6.47
30.5,32.5,2024,5,13.39,20.83,2.18,9.24,0.0,67.21,14.58,1.16,9.24
31.5,27.5,2024,5,10.72,19.11,4.89,16.66,0.0,76.67,17.86,4.26,16.66
31.5,32.5,2024,5,11.71,19.75,4.98,18.16,0.04,74.57,18.97,3.95,18.16
23.5,27.5,2024,6,17.59,19.67,3.09,4.51,0.0,36.6,12.19,1.53,4.51
23.5,32.5,2024,6,17.48,25.44,4.04,9.46,0.0,39.87,16.83,2.33,9.46
24.5,27.5,2024,6,17.03,19.29,1.78,4.68,0.0,41.51,11.49,1.31,4.68
24.5,32.5,2024,6,17.0,24.72,3.82,8.54,0.0,37.75,15.88,2.02,8.54
25.5,27.5,2024,6,16.35,19.34,1.75,6.28,0.0,44.83,12.2,1.12,6.28
25.5,32.5,2024,6,16.5,25.08,2.8,7.35,0.0,41.13,15.03,1.77,7.35
26.5,27.5,2024,6,15.86,19.78,1.97,7.16,0.0,50.4,12.65,1.16,7.16
26.5,32.5,2024,6,15.93,25.19,2.61,7.59,0.0,42.96,15.03,1.74,7.59
27.5,27.5,2024,6,15.12,19.56,2.29,8.02,0.0,55.77,12.76,1.26,8.02
27.5,32.5,2024,6,15.91,24.09,4.14,7.47,0.0,46.21,14.37,2.0,7.47
28.5,27.5,2024,6,14.4,20.06,3.11,7.38,0.0,65.63,12.25,1.79,7.38
28.5,32.5,2024,6,15.2,21.31,4.53,7.61,0.0,59.22,13.61,2.09,7.61
29.5,27.5,2024,6,13.45,21.61,3.67,9.17,0.0,60.08,14.34,1.76,9.17
29.5,32.5,2024,6,14.39,21.7,3.86,11.91,0.0,65.0,16.26,2.33,11.91
30.5,27.5,2024,6,12.89,19.78,4.32,9.33,0.0,70.34,13.07,2.09,9.33
30.5,32.5,2024,6,13.66,22.26,3.36,10.57,0.01,68.86,15.42,2.06,10.57
31.5,27.5,2024,6,11.47,20.27,5.48,16.74,0.0,66.75,18.21,3.77,16.74
31.5,32.5,2024,6,11.79,19.88,4.4,18.82,0.16,75.59,19.29,2.47,18.82
23.5,27.5,2024,7,17.99,24.25,2.94,7.26,0.0,21.42,15.01,1.59,7.26
23.5,32.5,2024,7,17.38,27.25,3.51,10.35,0.0,30.8,18.26,2.18,10.35
24.5,27.5,2024,7,17.36,24.11,2.59,7.93,0.0,21.0,15.34,1.38,7.93
24.5,32.5,2024,7,17.01,26.77,2.77,9.06,0.0,30.88,17.22,1.54,9.06
25.5,27.5,2024,7,16.85,24.26,3.4,7.75,0.0,24.26,14.51,1.89,7.75
25.5,32.5,2024,7,16.18,26.81,2.01,8.7,0.0,35.68,16.58,1.32,8.7
26.5,27.5,2024,7,16.35,24.33,3.68,6.94,0.0,29.04,13.93,2.22,6.94
26.5,32.5,2024,7,15.88,25.66,2.66,8.99,0.0,40.92,15.91,1.63,8.99
27.5,27.5,2024,7,15.73,22.98,4.43,6.2,0.0,36.03,13.04,2.45,6.2
27.5,32.5,2024,7,15.84,24.56,3.28,8.94,0.0,43.4,15.21,1.64,8.94
28.5,27.5,2024,7,15.12,21.27,5.7,7.37,0.0,42.76,12.71,3.07,7.37
28.5,32.5,2024,7,15.14,25.02,3.17,8.68,0.0,46.06,14.99,1.93,8.68
29.5,27.5,2024,7,14.34,21.77,4.84,7.34,0.0,45.1,13.19,2.85,7.34
29.5,32.5,2024,7,14.15,23.54,2.93,13.29,0.0,56.57,17.45,1.81,13.29
30.5,27.5,2024,7,13.59,19.5,5.21,6.09,0.0,52.29,11.53,2.93,6.09
30.5,32.5,2024,7,13.43,24.47,3.99,9.18,0.01,59.96,15.75,2.22,9.18
31.5,27.5,2024,7,11.91,19.95,7.84,14.56,0.0,62.7,17.26,6.16,14.56
31.5,32.5,2024,7,11.57,21.33,5.45,17.39,0.01,73.39,19.64,3.08,17.39
23.5,27.5,2024,8,17.77,23.14,3.93,6.87,0.0,27.37,13.97,2.4,6.87
23.5,32.5,2024,8,16.92,29.51,3.1,11.81,0.0,28.98,20.2,2.15,11.81
24.5,27.5,2024,8,17.14,21.04,3.46,6.38,0.0,34.01,12.54,2.15,6.38
24.5,32.5,2024,8,16.64,28.96,2.54,10.7,0.0,26.62,19.05,1.59,10.7
25.5,27.5,2024,8,16.9,19.96,3.01,6.28,0.0,36.45,12.37,1.89,6.28
25.5,32.5,2024,8,15.91,28.82,2.36,10.18,0.0,29.63,17.6,1.52,10.18
26.5,27.5,2024,8,16.33,19.73,2.61,5.68,0.0,35.76,12.04,1.72,5.68
26.5,32.5,2024,8,15.6,27.79,2.83,10.49,0.0,30.18,17.19,1.84,10.49
27.5,27.5,2024,8,15.53,18.32,3.29,5.1,0.0,35.09,10.91,1.9,5.1
27.5,32.5,2024,8,15.75,26.24,2.6,11.0,0.0,29.61,16.41,1.53,11.0
28.5,27.5,2024,8,14.28,16.88,3.64,4.25,0.0,40.84,9.94,1.98,4.25
28.5,32.5,2024,8,15.13,25.8,2.2,8.52,0.0,33.36,15.52,1.2,8.52
29.5,27.5,2024,8,12.8,18.52,3.56,4.65,0.0,47.04,10.83,2.02,4.65
29.5,32.5,2024,8,14.49,23.84,2.11,12.43,0.0,48.34,17.31,1.47,12.43
30.5,27.5,2024,8,12.06,17.34,4.06,5.12,0.0,55.72,10.16,2.81,5.12
30.5,32.5,2024,8,12.64,22.95,3.04,8.85,0.0,46.28,15.39,1.74,8.85
31.5,27.5,2024,8,10.9,17.8,6.58,15.4,0.0,62.5,16.4,5.49,15.4
31.5,32.5,2024,8,10.86,19.7,6.25,15.1,0.0,69.7,17.87,3.68,15.1
23.5,27.5,2024,9,15.22,21.76,4.11,7.44,0.0,30.43,13.14,2.6,7.44
23.5,32.5,2024,9,14.44,28.02,3.99,14.18,0.0,31.26,20.59,2.16,14.18
24.5,27.5,2024,9,15.03,19.89,3.76,6.0,0.0,30.05,11.95,2.38,6.0
24.5,32.5,2024,9,13.87,25.97,4.13,12.78,0.0,24.01,18.57,2.23,12.78
25.5,27.5,2024,9,14.19,19.73,3.95,7.35,0.0,28.57,12.1,1.99,7.35
25.5,32.5,2024,9,13.39,24.92,4.26,11.36,0.0,25.9,16.85,2.87,11.36
26.5,27.5,2024,9,15.54,20.02,4.22,7.67,0.0,29.07,11.96,1.89,7.67
26.5,32.5,2024,9,12.9,26.79,4.06,11.28,0.0,25.67,16.94,2.89,11.28
27.5,27.5,2024,9,15.46,18.87,4.64,6.36,0.0,33.49,10.92,2.1,6.36
27.5,32.5,2024,9,13.52,24.14,4.36,8.73,0.0,28.42,14.63,2.74,8.73
28.5,27.5,2024,9,14.97,18.23,5.24,6.36,0.0,36.77,10.69,2.48,6.36
28.5,32.5,2024,9,14.01,22.57,3.55,6.99,0.0,33.17,13.04,2.37,6.99
29.5,27.5,2024,9,14.29,19.52,5.95,5.12,0.0,40.62,11.27,2.86,5.12
29.5,32.5,2024,9,14.35,20.86,3.45,10.59,0.0,47.25,14.93,2.48,10.59
30.5,27.5,2024,9,13.62,17.24,6.86,4.15,0.0,46.84,9.7,3.51,4.15
30.5,32.5,2024,9,13.22,20.13,4.23,6.52,0.0,43.83,12.33,2.33,6.52
31.5,27.5,2024,9,12.1,17.99,9.37,14.05,0.0,59.28,16.07,7.58,14.05
31.5,32.5,2024,9,12.41,19.91,6.95,15.93,0.0,61.06,18.11,5.71,15.93
23.5,27.5,2024,10,17.49,19.49,6.05,6.58,0.0,30.69,11.56,4.15,6.58
23.5,32.5,2024,10,16.82,25.72,5.58,12.56,0.0,23.16,17.91,4.19,12.56
24.5,27.5,2024,10,17.13,17.09,6.07,5.39,0.0,37.91,10.06,3.95,5.39
24.5,32.5,2024,10,16.63,23.89,5.77,10.03,0.0,24.37,15.45,4.22,10.03
25.5,27.5,2024,10,16.52,16.97,5.79,4.36,0.0,43.92,10.01,3.4,4.36
25.5,32.5,2024,10,16.49,23.03,5.71,7.72,0.0,28.38,14.05,3.79,7.72
26.5,27.5,2024,10,15.8,17.44,5.56,3.89,0.0,50.47,10.14,3.17,3.89
26.5,32.5,2024,10,16.11,22.44,5.41,7.99,0.0,28.64,13.61,3.62,7.99
27.5,27.5,2024,10,14.88,17.45,5.52,3.82,0.0,57.1,9.86,3.26,3.82
27.5,32.5,2024,10,15.74,19.07,5.59,6.75,0.0,33.6,11.66,3.78,6.75
28.5,27.5,2024,10,14.18,17.5,5.37,4.72,0.0,59.01,10.39,3.33,4.72
28.5,32.5,2024,10,15.15,17.8,5.16,5.31,0.0,40.26,10.72,3.23,5.31
29.5,27.5,2024,10,13.1,20.5,5.24,5.83,0.0,62.68,12.54,3.34,5.83
29.5,32.5,2024,10,14.04,19.1,4.44,10.2,0.0,50.1,14.23,3.1,10.2
30.5,27.5,2024,10,12.99,17.87,6.66,7.34,0.0,71.71,11.56,4.43,7.34
30.5,32.5,2024,10,12.81,19.92,4.85,5.33,0.02,53.0,12.3,2.78,5.33
31.5,27.5,2024,10,10.84,17.63,8.59,15.47,0.02,73.53,16.58,7.75,15.47
31.5,32.5,2024,10,10.7,19.26,7.68,16.57,0.26,66.59,18.02,7.06,16.57
23.5,27.5,2024,11,17.25,17.9,4.91,4.77,0.02,57.9,10.47,3.62,4.77
23.5,32.5,2024,11,17.57,22.12,5.98,8.42,0.0,43.06,14.67,4.03,8.42
24.5,27.5,2024,11,16.28,16.73,4.85,4.34,0.02,64.7,9.65,3.34,4.34
24.5,32.5,2024,11,15.67,20.79,5.47,7.28,0.0,49.24,13.21,4.02,7.28
25.5,27.5,2024,11,16.27,16.7,4.67,4.82,0.05,69.39,9.84,2.88,4.82
25.5,32.5,2024,11,16.44,20.77,5.15,6.17,0.0,51.65,12.66,3.7,6.17
26.5,27.5,2024,11,15.7,17.27,4.42,4.87,0.01,71.02,10.19,2.61,4.87
26.5,32.5,2024,11,16.1,19.81,5.1,6.42,0.0,53.23,12.12,3.49,6.42
27.5,27.5,2024,11,15.34,16.93,4.61,4.99,0.0,70.07,10.15,2.45,4.99
27.5,32.5,2024,11,15.97,17.56,5.46,5.76,0.0,63.23,10.3,3.69,5.76
28.5,27.5,2024,11,14.96,16.65,4.46,5.85,0.02,68.41,10.51,2.24,5.85
28.5,32.5,2024,11,15.45,16.35,5.19,6.29,0.03,70.21,9.99,3.16,6.29
29.5,27.5,2024,11,14.47,18.92,4.25,6.46,0.04,67.44,12.12,2.29,6.46
29.5,32.5,2024,11,12.6,17.76,4.75,10.97,0.07,70.46,14.24,3.59,10.97
30.5,27.5,2024,11,12.72,16.69,4.85,7.15,0.04,73.22,11.02,3.12,7.15
30.5,32.5,2024,11,11.75,17.66,4.9,7.42,0.4,72.9,12.96,2.8,7.42
31.5,27.5,2024,11,8.34,16.9,6.78,15.43,0.26,68.79,16.27,6.32,15.43
31.5,32.5,2024,11,8.86,18.13,7.91,17.11,1.62,72.31,17.76,7.36,17.11
23.5,27.5,2024,12,16.86,17.59,3.33,5.39,0.0,51.11,11.47,1.85,5.39
23.5,32.5,2024,12,15.48,21.19,4.43,8.25,0.0,45.57,14.16,2.79,8.25
24.5,27.5,2024,12,15.14,16.85,2.43,3.42,0.0,56.63,10.42,1.29,3.42
24.5,32.5,2024,12,15.48,20.8,4.1,6.26,0.0,46.26,12.76,2.68,6.26
25.5,27.5,2024,12,13.73,17.08,1.66,4.6,0.0,55.27,10.96,1.04,4.6
25.5,32.5,2024,12,13.96,21.17,3.64,5.18,0.0,48.93,12.35,2.48,5.18
26.5,27.5,2024,12,14.9,17.82,2.06,5.07,0.0,54.77,11.08,1.34,5.07
26.5,32.5,2024,12,14.68,20.3,3.74,6.1,0.0,53.2,11.99,2.54,6.1
