-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M
23.0,25.625,2022,1,9.41
23.0,26.25,2022,1,9.55
23.0,26.875,2022,1,11.74
23.0,27.5,2022,1,12.38
23.0,28.125,2022,1,12.83
23.0,28.75,2022,1,12.89
23.0,29.375,2022,1,13.02
23.0,30.0,2022,1,13.5
23.0,30.625,2022,1,13.76
23.0,31.25,2022,1,14.15
23.0,31.875,2022,1,13.83
23.0,32.5,2022,1,14.42
23.0,33.125,2022,1,15.61
23.0,33.75,2022,1,15.39
23.5,25.625,2022,1,9.07
23.5,26.25,2022,1,9.02
23.5,26.875,2022,1,10.77
23.5,27.5,2022,1,11.64
23.5,28.125,2022,1,12.25
23.5,28.75,2022,1,12.67
23.5,29.375,2022,1,12.88
23.5,30.0,2022,1,13.63
23.5,30.625,2022,1,13.73
23.5,31.25,2022,1,13.12
23.5,31.875,2022,1,12.72
23.5,32.5,2022,1,14.23
23.5,33.125,2022,1,15.24
23.5,33.75,2022,1,15.0
24.0,25.625,2022,1,9.19
24.0,26.25,2022,1,9.0
24.0,26.875,2022,1,9.89
24.0,27.5,2022,1,11.14
24.0,28.125,2022,1,11.75
24.0,28.75,2022,1,12.16
24.0,29.375,2022,1,12.38
24.0,30.0,2022,1,13.21
24.0,30.625,2022,1,13.24
24.0,31.25,2022,1,12.12
24.0,31.875,2022,1,11.72
24.0,32.5,2022,1,13.66
24.0,33.125,2022,1,14.56
24.0,33.75,2022,1,15.26
24.5,25.625,2022,1,9.98
24.5,26.25,2022,1,9.44
24.5,26.875,2022,1,9.32
24.5,27.5,2022,1,10.39
24.5,28.125,2022,1,11.29
24.5,28.75,2022,1,11.56
24.5,29.375,2022,1,11.64
24.5,30.0,2022,1,12.67
24.5,30.625,2022,1,12.92
24.5,31.25,2022,1,11.35
24.5,31.875,2022,1,11.27
24.5,32.5,2022,1,13.38
24.5,33.125,2022,1,14.68
24.5,33.75,2022,1,15.21
25.0,25.625,2022,1,10.56
25.0,26.25,2022,1,9.87
25.0,26.875,2022,1,9.72
25.0,27.5,2022,1,10.53
25.0,28.125,2022,1,11.08
25.0,28.75,2022,1,11.28
25.0,29.375,2022,1,11.51
25.0,30.0,2022,1,12.11
25.0,30.625,2022,1,12.59
25.0,31.25,2022,1,11.05
25.0,31.875,2022,1,11.06
25.0,32.5,2022,1,13.28
25.0,33.125,2022,1,14.05
25.0,33.75,2022,1,14.47
25.5,25.625,2022,1,11.04
25.5,26.25,2022,1,10.42
25.5,26.875,2022,1,10.37
25.5,27.5,2022,1,10.65
25.5,28.125,2022,1,11.41
25.5,28.75,2022,1,11.35
25.5,29.375,2022,1,10.07
25.5,30.0,2022,1,10.42
25.5,30.625,2022,1,11.87
25.5,31.25,2022,1,10.42
