-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M_MAX
23.0,25.625,2022,1,14.57
23.0,26.25,2022,1,15.37
23.0,26.875,2022,1,18.68
23.0,27.5,2022,1,19.06
23.0,28.125,2022,1,19.36
23.0,28.75,2022,1,19.08
23.0,29.375,2022,1,19.22
23.0,30.0,2022,1,19.87
23.0,30.625,2022,1,20.35
23.0,31.25,2022,1,20.75
23.0,31.875,2022,1,20.08
23.0,32.5,2022,1,20.82
23.0,33.125,2022,1,22.26
23.0,33.75,2022,1,22.33
23.5,25.625,2022,1,13.75
23.5,26.25,2022,1,14.06
23.5,26.875,2022,1,16.67
23.5,27.5,2022,1,17.65
23.5,28.125,2022,1,18.39
23.5,28.75,2022,1,18.62
23.5,29.375,2022,1,18.76
23.5,30.0,2022,1,19.65
23.5,30.625,2022,1,20.33
23.5,31.25,2022,1,19.5
23.5,31.875,2022,1,18.61
23.5,32.5,2022,1,20.72
23.5,33.125,2022,1,22.16
23.5,33.75,2022,1,21.91
24.0,25.625,2022,1,13.12
24.0,26.25,2022,1,13.21
24.0,26.875,2022,1,15.0
24.0,27.5,2022,1,16.74
24.0,28.125,2022,1,17.4
24.0,28.75,2022,1,17.63
24.0,29.375,2022,1,17.62
24.0,30.0,2022,1,19.01
24.0,30.625,2022,1,19.69
24.0,31.25,2022,1,18.15
24.0,31.875,2022,1,17.52
24.0,32.5,2022,1,20.44
24.0,33.125,2022,1,22.15
24.0,33.75,2022,1,22.24
24.5,25.625,2022,1,13.47
24.5,26.25,2022,1,13.42
24.5,26.875,2022,1,13.98
24.5,27.5,2022,1,15.77
24.5,28.125,2022,1,16.52
24.5,28.75,2022,1,16.74
24.5,29.375,2022,1,16.43
24.5,30.0,2022,1,18.07
24.5,30.625,2022,1,19.08
24.5,31.25,2022,1,17.26
24.5,31.875,2022,1,17.02
24.5,32.5,2022,1,20.27
24.5,33.125,2022,1,22.27
24.5,33.75,2022,1,22.08
25.0,25.625,2022,1,13.47
25.0,26.25,2022,1,13.14
25.0,26.875,2022,1,14.03
25.0,27.5,2022,1,15.15
25.0,28.125,2022,1,15.91
25.0,28.75,2022,1,16.2
25.0,29.375,2022,1,16.07
25.0,30.0,2022,1,17.08
25.0,30.625,2022,1,18.54
25.0,31.25,2022,1,16.86
25.0,31.875,2022,1,16.99
25.0,32.5,2022,1,20.24
25.0,33.125,2022,1,21.4
25.0,33.75,2022,1,21.33
25.5,25.625,2022,1,14.08
25.5,26.25,2022,1,13.29
25.5,26.875,2022,1,14.12
25.5,27.5,2022,1,14.99
25.5,28.125,2022,1,16.23
25.5,28.75,2022,1,16.12
25.5,29.375,2022,1,14.87
25.5,30.0,2022,1,14.82
