-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,YEAR,DOY,RH2M
23.0,25.625,2022,1,73.9
23.0,26.25,2022,1,72.85
23.0,26.875,2022,1,65.43
23.0,27.5,2022,1,63.02
23.0,28.125,2022,1,61.83
23.0,28.75,2022,1,61.69
23.0,29.375,2022,1,61.2
23.0,30.0,2022,1,58.86
23.0,30.625,2022,1,56.95
23.0,31.25,2022,1,53.28
23.0,31.875,2022,1,51.65
23.0,32.5,2022,1,46.69
23.0,33.125,2022,1,41.47
23.0,33.75,2022,1,37.39
23.5,25.625,2022,1,78.46
23.5,26.25,2022,1,77.27
23.5,26.875,2022,1,70.89
23.5,27.5,2022,1,67.68
23.5,28.125,2022,1,64.92
23.5,28.75,2022,1,63.03
23.5,29.375,2022,1,62.03
23.5,30.0,2022,1,58.91
23.5,30.625,2022,1,59.02
23.5,31.25,2022,1,59.28
23.5,31.875,2022,1,57.63
23.5,32.5,2022,1,50.82
23.5,33.125,2022,1,42.78
23.5,33.75,2022,1,38.94
24.0,25.625,2022,1,81.16
24.0,26.25,2022,1,81.66
24.0,26.875,2022,1,77.33
24.0,27.5,2022,1,71.05
24.0,28.125,2022,1,67.67
24.0,28.75,2022,1,64.95
24.0,29.375,2022,1,62.77
24.0,30.0,2022,1,60.0
24.0,30.625,2022,1,61.65
24.0,31.25,2022,1,64.61
24.0,31.875,2022,1,63.07
24.0,32.5,2022,1,53.67
24.0,33.125,2022,1,44.36
24.0,33.75,2022,1,39.27
24.5,25.625,2022,1,81.53
24.5,26.25,2022,1,83.16
24.5,26.875,2022,1,81.84
24.5,27.5,2022,1,75.55
24.5,28.125,2022,1,69.9
24.5,28.75,2022,1,66.67
24.5,29.375,2022,1,65.14
24.5,30.0,2022,1,61.44
24.5,30.625,2022,1,63.03
24.5,31.25,2022,1,69.06
24.5,31.875,2022,1,66.19
24.5,32.5,2022,1,55.81
24.5,33.125,2022,1,44.64
24.5,33.75,2022,1,40.3
25.0,25.625,2022,1,80.96
25.0,26.25,2022,1,82.24
25.0,26.875,2022,1,80.71
25.0,27.5,2022,1,75.17
25.0,28.125,2022,1,70.51
25.0,28.75,2022,1,67.22
25.0,29.375,2022,1,65.81
25.0,30.0,2022,1,63.31
25.0,30.625,2022,1,63.66
25.0,31.25,2022,1,70.65
25.0,31.875,2022,1,68.42
25.0,32.5,2022,1,58.25
25.0,33.125,2022,1,47.76
25.0,33.75,2022,1,42.71
25.5,25.625,2022,1,79.45
25.5,26.25,2022,1,79.55
25.5,26.875,2022,1,77.58
25.5,27.5,2022,1,74.34
25.5,28.125,2022,1,69.59
25.5,28.75,2022,1,68.06
25.5,29.375,2022,1,72.14
25.5,30.0,2022,1,69.47
25.5,30.625,2022,1,65.99
25.5,31.25,2022,1,74.07
25.5,31.875,2022,1,71.16
25.5,32.5,2022,1,61.95
25.5,33.125,2022,1,52.64
25.5,33.75,2022,1,47.38
26.0,25.625,2022,1,77.65
26.0,26.25,2022,1,76.13
26.0,26.875,2022,1,74.47
26.0,27.5,2022,1,71.63
26.0,28.125,2022,1,72.04
26.0,28.75,2022,1,73.48
26.0,29.375,2022,1,76.1
26.0,30.0,2022,1,74.82
26.0,30.625,2022,1,72.72
26.0,31.25,2022,1,75.17
26.0,31.875,2022,1,70.97
26.0,32.5,2022,1,64.96
26.0,33.125,2022,1,51.96
26.0,33.75,2022,1,49.34
26.5,25.625,2022,1,74.52
26.5,26.25,2022,1,73.03
26.5,26.875,2022,1,71.49
26.5,27.5,2022,1,70.15
26.5,28.125,2022,1,70.14
26.5,28.75,2022,1,73.12
26.5,29.375,2022,1,77.23
26.5,30.0,2022,1,76.86
26.5,30.625,2022,1,75.96
26.5,31.25,2022,1,75.63
26.5,31.875,2022,1,72.23
26.5,32.5,2022,1,70.98
26.5,33.125,2022,1,61.18
26.5,33.75,2022,1,50.47
27.0,25.625,2022,1,71.51
27.0,26.25,2022,1,71.57
27.0,26.875,2022,1,71.03
27.0,27.5,2022,1,70.81
27.0,28.125,2022,1,69.39
27.0,28.75,2022,1,74.21
