-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS2M     MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
LAT,LON,YEAR,DOY,WS2M
23.0,25.625,2022,1,4.65
23.0,26.25,2022,1,5.21
23.0,26.875,2022,1,4.14
23.0,27.5,2022,1,4.45
23.0,28.125,2022,1,4.25
23.0,28.75,2022,1,4.14
23.0,29.375,2022,1,3.98
23.0,30.0,2022,1,3.75
23.0,30.625,2022,1,3.55
23.0,31.25,2022,1,3.58
23.0,31.875,2022,1,3.53
23.0,32.5,2022,1,3.34
23.0,33.125,2022,1,2.84
23.0,33.75,2022,1,3.12
23.5,25.625,2022,1,4.8
23.5,26.25,2022,1,5.73
23.5,26.875,2022,1,5.07
23.5,27.5,2022,1,4.92
23.5,28.125,2022,1,4.51
23.5,28.75,2022,1,4.4
23.5,29.375,2022,1,4.3
23.5,30.0,2022,1,4.15
23.5,30.625,2022,1,3.7
23.5,31.25,2022,1,3.65
23.5,31.875,2022,1,3.8
23.5,32.5,2022,1,3.42
23.5,33.125,2022,1,2.78
23.5,33.75,2022,1,2.99
24.0,25.625,2022,1,5.13
24.0,26.25,2022,1,5.71
24.0,26.875,2022,1,5.6
24.0,27.5,2022,1,5.18
24.0,28.125,2022,1,4.77
24.0,28.75,2022,1,4.42
24.0,29.375,2022,1,4.55
24.0,30.0,2022,1,4.22
24.0,30.625,2022,1,3.5
24.0,31.25,2022,1,3.62
24.0,31.875,2022,1,3.8
24.0,32.5,2022,1,3.4
24.0,33.125,2022,1,2.64
24.0,33.75,2022,1,2.83
24.5,25.625,2022,1,4.91
24.5,26.25,2022,1,5.25
24.5,26.875,2022,1,5.62
24.5,27.5,2022,1,5.33
24.5,28.125,2022,1,4.91
24.5,28.75,2022,1,4.55
24.5,29.375,2022,1,4.4
24.5,30.0,2022,1,4.13
24.5,30.625,2022,1,3.21
24.5,31.25,2022,1,3.47
24.5,31.875,2022,1,3.72
24.5,32.5,2022,1,3.39
24.5,33.125,2022,1,2.56
24.5,33.75,2022,1,2.74
25.0,25.625,2022,1,4.95
25.0,26.25,2022,1,5.04
25.0,26.875,2022,1,5.43
25.0,27.5,2022,1,5.38
25.0,28.125,2022,1,4.9
25.0,28.75,2022,1,4.49
25.0,29.375,2022,1,4.11
25.0,30.0,2022,1,4.04
25.0,30.625,2022,1,2.83
25.0,31.25,2022,1,3.33
