-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS2M_MIN     MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
-END HEADER-
LAT,LON,YEAR,DOY,WS2M_MIN
23.0,25.625,2022,1,2.28
23.0,26.25,2022,1,3.64
23.0,26.875,2022,1,2.61
23.0,27.5,2022,1,3.03
23.0,28.125,2022,1,2.81
23.0,28.75,2022,1,2.92
23.0,29.375,2022,1,2.6
23.0,30.0,2022,1,2.26
23.0,30.625,2022,1,1.77
23.0,31.25,2022,1,1.53
23.0,31.875,2022,1,1.55
23.0,32.5,2022,1,1.6
23.0,33.125,2022,1,0.85
23.0,33.75,2022,1,0.84
23.5,25.625,2022,1,2.47
23.5,26.25,2022,1,3.86
23.5,26.875,2022,1,3.46
23.5,27.5,2022,1,3.31
23.5,28.125,2022,1,2.95
23.5,28.75,2022,1,3.19
23.5,29.375,2022,1,2.91
23.5,30.0,2022,1,2.92
23.5,30.625,2022,1,2.03
23.5,31.25,2022,1,1.76
23.5,31.875,2022,1,1.63
23.5,32.5,2022,1,1.68
23.5,33.125,2022,1,0.96
23.5,33.75,2022,1,0.84
24.0,25.625,2022,1,2.51
24.0,26.25,2022,1,3.52
24.0,26.875,2022,1,3.85
24.0,27.5,2022,1,3.53
24.0,28.125,2022,1,2.97
24.0,28.75,2022,1,2.71
24.0,29.375,2022,1,3.34
24.0,30.0,2022,1,2.97
24.0,30.625,2022,1,1.9
24.0,31.25,2022,1,2.02
24.0,31.875,2022,1,1.92
24.0,32.5,2022,1,1.72
24.0,33.125,2022,1,1.0
24.0,33.75,2022,1,0.7
24.5,25.625,2022,1,2.56
24.5,26.25,2022,1,3.18
24.5,26.875,2022,1,3.87
24.5,27.5,2022,1,3.53
24.5,28.125,2022,1,3.09
24.5,28.75,2022,1,2.55
24.5,29.375,2022,1,2.94
24.5,30.0,2022,1,2.9
24.5,30.625,2022,1,1.56
24.5,31.25,2022,1,1.79
24.5,31.875,2022,1,2.11
24.5,32.5,2022,1,1.99
24.5,33.125,2022,1,1.02
24.5,33.75,2022,1,0.81
25.0,25.625,2022,1,2.41
25.0,26.25,2022,1,2.88
25.0,26.875,2022,1,3.24
25.0,27.5,2022,1,3.59
25.0,28.125,2022,1,3.26
25.0,28.75,2022,1,2.49
25.0,29.375,2022,1,2.5
25.0,30.0,2022,1,2.83
25.0,30.625,2022,1,1.34
25.0,31.25,2022,1,1.59
25.0,31.875,2022,1,2.14
25.0,32.5,2022,1,2.19
25.0,33.125,2022,1,1.08
25.0,33.75,2022,1,1.04
25.5,25.625,2022,1,1.67
25.5,26.25,2022,1,1.91
25.5,26.875,2022,1,2.35
25.5,27.5,2022,1,2.67
25.5,28.125,2022,1,2.35
25.5,28.75,2022,1,2.09
25.5,29.375,2022,1,2.06
25.5,30.0,2022,1,2.65
25.5,30.625,2022,1,1.27
25.5,31.25,2022,1,1.61
25.5,31.875,2022,1,1.93
25.5,32.5,2022,1,1.8
25.5,33.125,2022,1,1.06
25.5,33.75,2022,1,1.2
26.0,25.625,2022,1,1.51
26.0,26.25,2022,1,1.64
26.0,26.875,2022,1,1.87
26.0,27.5,2022,1,2.2
26.0,28.125,2022,1,2.06
26.0,28.75,2022,1,1.7
26.0,29.375,2022,1,1.63
26.0,30.0,2022,1,2.23
26.0,30.625,2022,1,1.56
26.0,31.25,2022,1,1.65
26.0,31.875,2022,1,1.48
26.0,32.5,2022,1,1.21
26.0,33.125,2022,1,1.03
26.0,33.75,2022,1,1.69
26.5,25.625,2022,1,1.45
26.5,26.25,2022,1,1.48
26.5,26.875,2022,1,1.59
26.5,27.5,2022,1,1.86
26.5,28.125,2022,1,1.65
26.5,28.75,2022,1,1.4
26.5,29.375,2022,1,1.41
26.5,30.0,2022,1,1.79
26.5,30.625,2022,1,1.5
26.5,31.25,2022,1,1.45
26.5,31.875,2022,1,1.1
26.5,32.5,2022,1,1.18
26.5,33.125,2022,1,1.12
26.5,33.75,2022,1,2.09
27.0,25.625,2022,1,1.45
27.0,26.25,2022,1,1.28
27.0,26.875,2022,1,1.25
27.0,27.5,2022,1,1.33
27.0,28.125,2022,1,1.31
27.0,28.75,2022,1,1.19
27.0,29.375,2022,1,1.26
27.0,30.0,2022,1,1.41
27.0,30.625,2022,1,1.26
27.0,31.25,2022,1,0.97
27.0,31.875,2022,1,0.95
27.0,32.5,2022,1,1.25
27.0,33.125,2022,1,1.07
27.0,33.75,2022,1,1.75
27.5,25.625,2022,1,1.45
27.5,26.25,2022,1,1.12
27.5,26.875,2022,1,1.05
27.5,27.5,2022,1,1.07
27.5,28.125,2022,1,1.15
27.5,28.75,2022,1,1.17
27.5,29.375,2022,1,1.14
27.5,30.0,2022,1,1.12
27.5,30.625,2022,1,0.85
27.5,31.25,2022,1,0.83
27.5,31.875,2022,1,0.72
27.5,32.5,2022,1,1.13
27.5,33.125,2022,1,1.56
27.5,33.75,2022,1,0.93
28.0,25.625,2022,1,1.41
28.0,26.25,2022,1,0.98
28.0,26.875,2022,1,0.84
28.0,27.5,2022,1,0.83
28.0,28.125,2022,1,0.96
28.0,28.75,2022,1,1.02
28.0,29.375,2022,1,1.01
28.0,30.0,2022,1,0.73
28.0,30.625,2022,1,0.42
28.0,31.25,2022,1,0.58
28.0,31.875,2022,1,0.75
28.0,32.5,2022,1,1.2
28.0,33.125,2022,1,0.78
28.0,33.75,2022,1,2.14
28.5,25.625,2022,1,1.28
28.5,26.25,2022,1,0.81
28.5,26.875,2022,1,0.42
28.5,27.5,2022,1,0.49
28.5,28.125,2022,1,0.5
28.5,28.75,2022,1,0.87
28.5,29.375,2022,1,0.4
28.5,30.0,2022,1,0.42
28.5,30.625,2022,1,0.24
28.5,31.25,2022,1,0.55
28.5,31.875,2022,1,0.92
28.5,32.5,2022,1,0.77
28.5,33.125,2022,1,2.01
28.5,33.75,2022,1,0.31
29.0,25.625,2022,1,1.25
29.0,26.25,2022,1,0.92
29.0,26.875,2022,1,0.33
29.0,27.5,2022,1,0.33
29.0,28.125,2022,1,0.4
29.0,28.75,2022,1,0.66
29.0,29.375,2022,1,0.74
29.0,30.0,2022,1,0.45
29.0,30.625,2022,1,0.42
29.0,31.25,2022,1,0.74
29.0,31.875,2022,1,0.95
29.0,32.5,2022,1,0.3
29.0,33.125,2022,1,0.43
29.0,33.75,2022,1,0.55
29.5,25.625,2022,1,1.25
29.5,26.25,2022,1,1.37
29.5,26.875,2022,1,1.01
29.5,27.5,2022,1,0.42
29.5,28.125,2022,1,0.11
29.5,28.75,2022,1,0.19
29.5,29.375,2022,1,0.74
29.5,30.0,2022,1,0.57
29.5,30.625,2022,1,0.18
29.5,31.25,2022,1,0.9
29.5,31.875,2022,1,0.76
29.5,32.5,2022,1,0.35
29.5,33.125,2022,1,0.41
29.5,33.75,2022,1,0.79
30.0,25.625,2022,1,1.23
30.0,26.25,2022,1,1.55
30.0,26.875,2022,1,1.29
30.0,27.5,2022,1,0.95
30.0,28.125,2022,1,0.18
30.0,28.75,2022,1,0.42
30.0,29.375,2022,1,0.43
30.0,30.0,2022,1,0.62
30.0,30.625,2022,1,0.5
30.0,31.25,2022,1,0.29
30.0,31.875,2022,1,0.03
30.0,32.5,2022,1,0.09
30.0,33.125,2022,1,0.61
30.0,33.75,2022,1,0.53
30.5,25.625,2022,1,1.14
30.5,26.25,2022,1,1.61
30.5,26.875,2022,1,1.33
30.5,27.5,2022,1,1.14
30.5,28.125,2022,1,0.37
30.5,28.75,2022,1,0.51
30.5,29.375,2022,1,0.27
30.5,30.0,2022,1,0.26
30.5,30.625,2022,1,0.94
30.5,31.25,2022,1,0.52
30.5,31.875,2022,1,0.37
30.5,32.5,2022,1,0.11
30.5,33.125,2022,1,0.8
30.5,33.75,2022,1,0.33
31.0,25.625,2022,1,0.75
31.0,26.25,2022,1,1.31
31.0,26.875,2022,1,1.27
31.0,27.5,2022,1,1.4
31.0,28.125,2022,1,1.27
31.0,28.75,2022,1,1.08
31.0,29.375,2022,1,0.58
31.0,30.0,2022,1,0.43
31.0,30.625,2022,1,0.69
31.0,31.25,2022,1,0.77
31.0,31.875,2022,1,0.5
31.0,32.5,2022,1,0.81
31.0,33.125,2022,1,0.91
31.0,33.75,2022,1,0.4
31.5,25.625,2022,1,0.46
31.5,26.25,2022,1,0.68
31.5,26.875,2022,1,1.89
31.5,27.5,2022,1,2.49
31.5,28.125,2022,1,2.37
31.5,28.75,2022,1,1.7
31.5,29.375,2022,1,1.55
31.5,30.0,2022,1,0.97
31.5,30.625,2022,1,0.2
31.5,31.25,2022,1,0.63
31.5,31.875,2022,1,0.43
31.5,32.5,2022,1,1.05
31.5,33.125,2022,1,1.63
31.5,33.75,2022,1,0.71
23.0,25.625,2022,2,1.87
23.0,26.25,2022,2,2.4
23.0,26.875,2022,2,2.4
23.0,27.5,2022,2,2.35
23.0,28.125,2022,2,2.01
23.0,28.75,2022,2,1.68
23.0,29.375,2022,2,1.57
