-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
LAT,LON,YEAR,DOY,PRECTOTCORR
23.0,25.625,2022,1,0.02
23.0,26.25,2022,1,0.02
23.0,26.875,2022,1,0.01
23.0,27.5,2022,1,0.01
23.0,28.125,2022,1,0.0
23.0,28.75,2022,1,0.0
23.0,29.375,2022,1,0.0
23.0,30.0,2022,1,0.01
23.0,30.625,2022,1,0.01
23.0,31.25,2022,1,0.0
23.0,31.875,2022,1,0.0
23.0,32.5,2022,1,0.0
23.0,33.125,2022,1,0.0
23.0,33.75,2022,1,0.0
23.5,25.625,2022,1,0.04
23.5,26.25,2022,1,0.05
23.5,26.875,2022,1,0.02
23.5,27.5,2022,1,0.02
23.5,28.125,2022,1,0.01
23.5,28.75,2022,1,0.0
23.5,29.375,2022,1,0.0
23.5,30.0,2022,1,0.01
23.5,30.625,2022,1,0.01
23.5,31.25,2022,1,0.01
23.5,31.875,2022,1,0.0
23.5,32.5,2022,1,0.0
23.5,33.125,2022,1,0.0
23.5,33.75,2022,1,0.0
24.0,25.625,2022,1,0.09
24.0,26.25,2022,1,0.08
24.0,26.875,2022,1,0.04
24.0,27.5,2022,1,0.03
24.0,28.125,2022,1,0.02
24.0,28.75,2022,1,0.02
24.0,29.375,2022,1,0.01
24.0,30.0,2022,1,0.02
24.0,30.625,2022,1,0.01
24.0,31.25,2022,1,0.01
24.0,31.875,2022,1,0.01
24.0,32.5,2022,1,0.0
24.0,33.125,2022,1,0.0
24.0,33.75,2022,1,0.0
24.5,25.625,2022,1,0.19
24.5,26.25,2022,1,0.1
24.5,26.875,2022,1,0.08
24.5,27.5,2022,1,0.08
24.5,28.125,2022,1,0.05
24.5,28.75,2022,1,0.04
24.5,29.375,2022,1,0.06
24.5,30.0,2022,1,0.09
24.5,30.625,2022,1,0.09
24.5,31.25,2022,1,0.06
24.5,31.875,2022,1,0.05
24.5,32.5,2022,1,0.01
24.5,33.125,2022,1,0.02
24.5,33.75,2022,1,0.01
25.0,25.625,2022,1,0.4
25.0,26.25,2022,1,0.27
25.0,26.875,2022,1,0.15
25.0,27.5,2022,1,0.16
25.0,28.125,2022,1,0.06
25.0,28.75,2022,1,0.09
25.0,29.375,2022,1,0.08
25.0,30.0,2022,1,0.2
25.0,30.625,2022,1,0.17
25.0,31.25,2022,1,0.09
25.0,31.875,2022,1,0.08
25.0,32.5,2022,1,0.07
25.0,33.125,2022,1,0.09
25.0,33.75,2022,1,0.05
25.5,25.625,2022,1,0.63
25.5,26.25,2022,1,0.44
25.5,26.875,2022,1,0.31
25.5,27.5,2022,1,0.24
25.5,28.125,2022,1,0.04
25.5,28.75,2022,1,0.03
25.5,29.375,2022,1,0.06
25.5,30.0,2022,1,0.19
25.5,30.625,2022,1,0.21
25.5,31.25,2022,1,0.12
25.5,31.875,2022,1,0.09
25.5,32.5,2022,1,0.2
25.5,33.125,2022,1,0.29
25.5,33.75,2022,1,0.21
26.0,25.625,2022,1,1.03
26.0,26.25,2022,1,0.55
26.0,26.875,2022,1,0.25
26.0,27.5,2022,1,0.28
26.0,28.125,2022,1,0.06
26.0,28.75,2022,1,0.04
26.0,29.375,2022,1,0.09
26.0,30.0,2022,1,0.27
26.0,30.625,2022,1,0.3
26.0,31.25,2022,1,0.18
26.0,31.875,2022,1,0.14
26.0,32.5,2022,1,0.37
26.0,33.125,2022,1,0.41
26.0,33.75,2022,1,0.5
26.5,25.625,2022,1,0.83
26.5,26.25,2022,1,0.72
26.5,26.875,2022,1,0.48
26.5,27.5,2022,1,0.44
