-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_SW_DWN
23.5,25.5,2022,1,13.66
23.5,26.5,2022,1,14.85
23.5,27.5,2022,1,15.09
23.5,28.5,2022,1,14.53
23.5,29.5,2022,1,15.09
23.5,30.5,2022,1,15.3
23.5,31.5,2022,1,15.84
23.5,32.5,2022,1,15.78
23.5,33.5,2022,1,16.9
24.5,25.5,2022,1,8.82
24.5,26.5,2022,1,10.65
24.5,27.5,2022,1,12.3
24.5,28.5,2022,1,12.08
24.5,29.5,2022,1,12.99
24.5,30.5,2022,1,13.64
24.5,31.5,2022,1,15.22
24.5,32.5,2022,1,14.48
24.5,33.5,2022,1,15.42
25.5,25.5,2022,1,8.22
25.5,26.5,2022,1,9.01
25.5,27.5,2022,1,9.48
25.5,28.5,2022,1,9.97
25.5,29.5,2022,1,11.04
25.5,30.5,2022,1,10.79
25.5,31.5,2022,1,13.29
25.5,32.5,2022,1,13.94
25.5,33.5,2022,1,13.28
26.5,25.5,2022,1,11.42
26.5,26.5,2022,1,12.46
26.5,27.5,2022,1,11.94
26.5,28.5,2022,1,10.68
26.5,29.5,2022,1,10.17
26.5,30.5,2022,1,8.68
26.5,31.5,2022,1,11.01
26.5,32.5,2022,1,12.37
26.5,33.5,2022,1,12.87
27.5,25.5,2022,1,14.02
27.5,26.5,2022,1,13.79
27.5,27.5,2022,1,11.16
27.5,28.5,2022,1,10.94
27.5,29.5,2022,1,10.5
27.5,30.5,2022,1,7.24
27.5,31.5,2022,1,9.36
27.5,32.5,2022,1,10.97
27.5,33.5,2022,1,10.65
28.5,25.5,2022,1,13.74
28.5,26.5,2022,1,13.45
28.5,27.5,2022,1,11.71
28.5,28.5,2022,1,11.66
28.5,29.5,2022,1,8.72
28.5,30.5,2022,1,8.55
28.5,31.5,2022,1,10.63
28.5,32.5,2022,1,11.15
28.5,33.5,2022,1,12.21
29.5,25.5,2022,1,12.13
29.5,26.5,2022,1,13.33
29.5,27.5,2022,1,12.63
29.5,28.5,2022,1,10.91
29.5,29.5,2022,1,9.81
29.5,30.5,2022,1,10.42
29.5,31.5,2022,1,11.07
29.5,32.5,2022,1,12.42
29.5,33.5,2022,1,12.07
30.5,25.5,2022,1,10.82
30.5,26.5,2022,1,12.48
30.5,27.5,2022,1,12.54
30.5,28.5,2022,1,12.68
30.5,29.5,2022,1,12.22
30.5,30.5,2022,1,10.15
30.5,31.5,2022,1,10.85
30.5,32.5,2022,1,11.2
30.5,33.5,2022,1,11.83
31.5,25.5,2022,1,10.49
31.5,26.5,2022,1,11.49
31.5,27.5,2022,1,10.86
31.5,28.5,2022,1,10.66
31.5,29.5,2022,1,11.4
31.5,30.5,2022,1,9.46
31.5,31.5,2022,1,10.19
31.5,32.5,2022,1,8.51
31.5,33.5,2022,1,7.33
23.5,25.5,2022,2,14.71
23.5,26.5,2022,2,16.62
23.5,27.5,2022,2,17.31
23.5,28.5,2022,2,17.59
23.5,29.5,2022,2,17.46
23.5,30.5,2022,2,17.23
23.5,31.5,2022,2,17.32
23.5,32.5,2022,2,17.17
23.5,33.5,2022,2,16.94
24.5,25.5,2022,2,13.32
24.5,26.5,2022,2,16.16
24.5,27.5,2022,2,16.73
24.5,28.5,2022,2,16.56
24.5,29.5,2022,2,16.71
24.5,30.5,2022,2,16.66
24.5,31.5,2022,2,16.85
24.5,32.5,2022,2,16.7
24.5,33.5,2022,2,16.23
25.5,25.5,2022,2,11.56
25.5,26.5,2022,2,14.15
25.5,27.5,2022,2,15.46
25.5,28.5,2022,2,15.52
25.5,29.5,2022,2,15.18
25.5,30.5,2022,2,15.42
25.5,31.5,2022,2,15.44
25.5,32.5,2022,2,15.13
25.5,33.5,2022,2,15.22
26.5,25.5,2022,2,10.7
26.5,26.5,2022,2,13.13
26.5,27.5,2022,2,14.33
26.5,28.5,2022,2,15.01
26.5,29.5,2022,2,15.05
26.5,30.5,2022,2,15.09
26.5,31.5,2022,2,11.33
26.5,32.5,2022,2,15.27
26.5,33.5,2022,2,14.73
27.5,25.5,2022,2,10.7
27.5,26.5,2022,2,11.76
27.5,27.5,2022,2,13.4
27.5,28.5,2022,2,12.55
27.5,29.5,2022,2,13.96
27.5,30.5,2022,2,14.48
27.5,31.5,2022,2,10.22
27.5,32.5,2022,2,13.99
27.5,33.5,2022,2,14.14
28.5,25.5,2022,2,12.72
28.5,26.5,2022,2,12.43
28.5,27.5,2022,2,12.24
28.5,28.5,2022,2,10.58
28.5,29.5,2022,2,12.12
28.5,30.5,2022,2,13.14
28.5,31.5,2022,2,11.77
28.5,32.5,2022,2,12.83
28.5,33.5,2022,2,14.04
29.5,25.5,2022,2,11.83
29.5,26.5,2022,2,11.34
29.5,27.5,2022,2,9.42
29.5,28.5,2022,2,10.24
29.5,29.5,2022,2,11.06
29.5,30.5,2022,2,12.09
29.5,31.5,2022,2,9.9
29.5,32.5,2022,2,10.03
29.5,33.5,2022,2,9.73
30.5,25.5,2022,2,10.74
30.5,26.5,2022,2,10.97
30.5,27.5,2022,2,7.23
30.5,28.5,2022,2,8.55
30.5,29.5,2022,2,9.9
30.5,30.5,2022,2,10.78
30.5,31.5,2022,2,10.38
30.5,32.5,2022,2,10.36
30.5,33.5,2022,2,9.06
31.5,25.5,2022,2,10.12
31.5,26.5,2022,2,8.65
31.5,27.5,2022,2,9.81
31.5,28.5,2022,2,8.71
31.5,29.5,2022,2,9.33
31.5,30.5,2022,2,10.3
31.5,31.5,2022,2,10.19
31.5,32.5,2022,2,9.73
31.5,33.5,2022,2,9.81
23.5,25.5,2022,3,14.01
23.5,26.5,2022,3,13.4
23.5,27.5,2022,3,16.66
23.5,28.5,2022,3,16.4
23.5,29.5,2022,3,16.67
23.5,30.5,2022,3,16.79
23.5,31.5,2022,3,16.98
23.5,32.5,2022,3,16.87
23.5,33.5,2022,3,17.14
24.5,25.5,2022,3,14.12
24.5,26.5,2022,3,14.46
24.5,27.5,2022,3,15.75
24.5,28.5,2022,3,16.09
24.5,29.5,2022,3,16.27
24.5,30.5,2022,3,16.38
24.5,31.5,2022,3,16.54
24.5,32.5,2022,3,16.17
24.5,33.5,2022,3,16.44
25.5,25.5,2022,3,15.85
25.5,26.5,2022,3,15.29
25.5,27.5,2022,3,15.4
25.5,28.5,2022,3,14.96
25.5,29.5,2022,3,13.4
25.5,30.5,2022,3,14.87
25.5,31.5,2022,3,15.69
25.5,32.5,2022,3,15.32
25.5,33.5,2022,3,15.77
26.5,25.5,2022,3,15.68
26.5,26.5,2022,3,15.31
26.5,27.5,2022,3,14.99
26.5,28.5,2022,3,14.01
26.5,29.5,2022,3,11.42
26.5,30.5,2022,3,11.22
26.5,31.5,2022,3,11.6
26.5,32.5,2022,3,14.83
26.5,33.5,2022,3,15.19
27.5,25.5,2022,3,15.16
27.5,26.5,2022,3,15.36
27.5,27.5,2022,3,14.71
27.5,28.5,2022,3,14.31
27.5,29.5,2022,3,13.95
27.5,30.5,2022,3,11.89
27.5,31.5,2022,3,10.62
27.5,32.5,2022,3,14.95
27.5,33.5,2022,3,14.43
28.5,25.5,2022,3,14.56
28.5,26.5,2022,3,14.88
28.5,27.5,2022,3,14.3
28.5,28.5,2022,3,14.07
28.5,29.5,2022,3,13.53
28.5,30.5,2022,3,12.36
28.5,31.5,2022,3,12.1
28.5,32.5,2022,3,14.26
28.5,33.5,2022,3,13.82
29.5,25.5,2022,3,14.38
29.5,26.5,2022,3,13.86
29.5,27.5,2022,3,13.91
29.5,28.5,2022,3,13.74
29.5,29.5,2022,3,13.44
29.5,30.5,2022,3,13.24
29.5,31.5,2022,3,11.36
29.5,32.5,2022,3,12.97
29.5,33.5,2022,3,10.46
30.5,25.5,2022,3,13.71
30.5,26.5,2022,3,13.06
30.5,27.5,2022,3,13.3
30.5,28.5,2022,3,12.84
30.5,29.5,2022,3,13.23
30.5,30.5,2022,3,13.04
30.5,31.5,2022,3,12.21
30.5,32.5,2022,3,11.29
30.5,33.5,2022,3,11.01
31.5,25.5,2022,3,13.29
31.5,26.5,2022,3,11.91
31.5,27.5,2022,3,11.8
31.5,28.5,2022,3,11.84
31.5,29.5,2022,3,12.07
31.5,30.5,2022,3,12.24
31.5,31.5,2022,3,11.61
31.5,32.5,2022,3,11.75
31.5,33.5,2022,3,11.81
23.5,25.5,2022,4,17.0
23.5,26.5,2022,4,17.33
23.5,27.5,2022,4,17.58
23.5,28.5,2022,4,17.08
23.5,29.5,2022,4,17.41
23.5,30.5,2022,4,17.16
23.5,31.5,2022,4,17.43
23.5,32.5,2022,4,17.26
23.5,33.5,2022,4,17.46
24.5,25.5,2022,4,15.36
24.5,26.5,2022,4,16.99
24.5,27.5,2022,4,16.01
24.5,28.5,2022,4,16.71
24.5,29.5,2022,4,16.96
24.5,30.5,2022,4,16.85
24.5,31.5,2022,4,17.13
24.5,32.5,2022,4,16.9
24.5,33.5,2022,4,16.91
25.5,25.5,2022,4,16.8
25.5,26.5,2022,4,16.57
25.5,27.5,2022,4,16.46
25.5,28.5,2022,4,16.47
25.5,29.5,2022,4,15.88
25.5,30.5,2022,4,16.02
25.5,31.5,2022,4,16.42
25.5,32.5,2022,4,15.98
25.5,33.5,2022,4,16.59
26.5,25.5,2022,4,15.85
26.5,26.5,2022,4,15.99
26.5,27.5,2022,4,15.82
26.5,28.5,2022,4,16.12
26.5,29.5,2022,4,15.41
26.5,30.5,2022,4,15.54
26.5,31.5,2022,4,15.61
26.5,32.5,2022,4,15.55
26.5,33.5,2022,4,16.08
27.5,25.5,2022,4,15.25
27.5,26.5,2022,4,14.99
27.5,27.5,2022,4,15.72
27.5,28.5,2022,4,15.67
27.5,29.5,2022,4,15.34
27.5,30.5,2022,4,14.59
27.5,31.5,2022,4,14.02
27.5,32.5,2022,4,15.56
27.5,33.5,2022,4,15.46
28.5,25.5,2022,4,15.18
28.5,26.5,2022,4,14.89
28.5,27.5,2022,4,15.26
28.5,28.5,2022,4,15.27
28.5,29.5,2022,4,14.81
28.5,30.5,2022,4,14.14
28.5,31.5,2022,4,13.94
28.5,32.5,2022,4,14.75
28.5,33.5,2022,4,15.24
29.5,25.5,2022,4,14.58
29.5,26.5,2022,4,14.39
29.5,27.5,2022,4,14.47
29.5,28.5,2022,4,14.3
29.5,29.5,2022,4,14.17
29.5,30.5,2022,4,14.3
29.5,31.5,2022,4,13.02
29.5,32.5,2022,4,13.16
29.5,33.5,2022,4,13.79
30.5,25.5,2022,4,14.31
30.5,26.5,2022,4,14.33
30.5,27.5,2022,4,13.86
30.5,28.5,2022,4,14.13
30.5,29.5,2022,4,14.05
30.5,30.5,2022,4,13.85
30.5,31.5,2022,4,12.02
30.5,32.5,2022,4,12.87
30.5,33.5,2022,4,12.61
31.5,25.5,2022,4,13.14
31.5,26.5,2022,4,13.21
31.5,27.5,2022,4,12.04
31.5,28.5,2022,4,11.3
31.5,29.5,2022,4,11.56
31.5,30.5,2022,4,11.27
