-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M_MIN
23.0,25.625,2023,1,3.73
23.0,26.25,2023,1,3.72
23.0,26.875,2023,1,5.71
23.0,27.5,2023,1,6.59
23.0,28.125,2023,1,7.0
23.0,28.75,2023,1,7.14
23.0,29.375,2023,1,7.27
23.0,30.0,2023,1,7.34
23.0,30.625,2023,1,6.87
23.0,31.25,2023,1,7.19
23.0,31.875,2023,1,7.45
23.0,32.5,2023,1,8.1
23.0,33.125,2023,1,8.53
23.0,33.75,2023,1,8.98
23.5,25.625,2023,1,3.3
23.5,26.25,2023,1,2.47
23.5,26.875,2023,1,4.98
23.5,27.5,2023,1,6.18
23.5,28.125,2023,1,6.93
23.5,28.75,2023,1,7.25
23.5,29.375,2023,1,7.43
23.5,30.0,2023,1,7.59
23.5,30.625,2023,1,6.76
23.5,31.25,2023,1,6.58
23.5,31.875,2023,1,6.82
23.5,32.5,2023,1,8.04
23.5,33.125,2023,1,7.72
23.5,33.75,2023,1,7.56
24.0,25.625,2023,1,2.53
24.0,26.25,2023,1,2.48
24.0,26.875,2023,1,4.33
24.0,27.5,2023,1,6.08
24.0,28.125,2023,1,6.77
24.0,28.75,2023,1,7.11
24.0,29.375,2023,1,6.97
24.0,30.0,2023,1,7.4
24.0,30.625,2023,1,6.18
24.0,31.25,2023,1,5.71
24.0,31.875,2023,1,5.59
24.0,32.5,2023,1,7.28
24.0,33.125,2023,1,6.58
24.0,33.75,2023,1,7.5
24.5,25.625,2023,1,3.34
24.5,26.25,2023,1,3.46
24.5,26.875,2023,1,4.22
24.5,27.5,2023,1,5.71
24.5,28.125,2023,1,6.85
24.5,28.75,2023,1,7.03
24.5,29.375,2023,1,6.74
24.5,30.0,2023,1,7.17
24.5,30.625,2023,1,6.18
24.5,31.25,2023,1,5.08
24.5,31.875,2023,1,4.96
24.5,32.5,2023,1,6.72
24.5,33.125,2023,1,6.42
24.5,33.75,2023,1,8.62
25.0,25.625,2023,1,4.91
25.0,26.25,2023,1,4.33
25.0,26.875,2023,1,4.81
25.0,27.5,2023,1,6.8
25.0,28.125,2023,1,7.54
25.0,28.75,2023,1,7.2
25.0,29.375,2023,1,7.01
25.0,30.0,2023,1,7.88
25.0,30.625,2023,1,6.35
25.0,31.25,2023,1,4.52
25.0,31.875,2023,1,4.45
25.0,32.5,2023,1,6.15
25.0,33.125,2023,1,5.85
25.0,33.75,2023,1,8.93
25.5,25.625,2023,1,4.91
25.5,26.25,2023,1,5.19
25.5,26.875,2023,1,5.75
25.5,27.5,2023,1,7.39
25.5,28.125,2023,1,7.92
25.5,28.75,2023,1,7.09
25.5,29.375,2023,1,6.49
25.5,30.0,2023,1,6.88
25.5,30.625,2023,1,6.24
25.5,31.25,2023,1,4.15
25.5,31.875,2023,1,4.38
25.5,32.5,2023,1,5.42
25.5,33.125,2023,1,5.66
25.5,33.75,2023,1,9.35
26.0,25.625,2023,1,5.84
26.0,26.25,2023,1,6.12
26.0,26.875,2023,1,6.77
26.0,27.5,2023,1,8.09
26.0,28.125,2023,1,7.94
26.0,28.75,2023,1,6.92
26.0,29.375,2023,1,6.36
26.0,30.0,2023,1,6.02
26.0,30.625,2023,1,5.59
26.0,31.25,2023,1,4.55
26.0,31.875,2023,1,5.02
26.0,32.5,2023,1,5.81
26.0,33.125,2023,1,9.71
26.0,33.75,2023,1,9.02
26.5,25.625,2023,1,6.87
26.5,26.25,2023,1,7.19
26.5,26.875,2023,1,7.66
26.5,27.5,2023,1,8.4
26.5,28.125,2023,1,8.29
26.5,28.75,2023,1,7.45
26.5,29.375,2023,1,6.9
26.5,30.0,2023,1,6.26
26.5,30.625,2023,1,5.67
26.5,31.25,2023,1,4.97
26.5,31.875,2023,1,5.77
26.5,32.5,2023,1,5.58
26.5,33.125,2023,1,7.73
26.5,33.75,2023,1,9.28
27.0,25.625,2023,1,8.23
27.0,26.25,2023,1,8.35
27.0,26.875,2023,1,8.72
27.0,27.5,2023,1,8.86
27.0,28.125,2023,1,8.71
27.0,28.75,2023,1,7.99
27.0,29.375,2023,1,7.33
27.0,30.0,2023,1,6.77
27.0,30.625,2023,1,5.96
27.0,31.25,2023,1,6.36
27.0,31.875,2023,1,5.06
27.0,32.5,2023,1,5.39
27.0,33.125,2023,1,6.4
27.0,33.75,2023,1,12.1
27.5,25.625,2023,1,9.51
27.5,26.25,2023,1,9.51
27.5,26.875,2023,1,9.59
27.5,27.5,2023,1,9.1
27.5,28.125,2023,1,8.63
27.5,28.75,2023,1,7.92
27.5,29.375,2023,1,7.73
27.5,30.0,2023,1,7.48
27.5,30.625,2023,1,7.08
27.5,31.25,2023,1,6.44
27.5,31.875,2023,1,5.4
27.5,32.5,2023,1,5.82
27.5,33.125,2023,1,6.95
27.5,33.75,2023,1,16.49
28.0,25.625,2023,1,9.47
28.0,26.25,2023,1,9.76
28.0,26.875,2023,1,9.72
28.0,27.5,2023,1,8.44
28.0,28.125,2023,1,8.27
28.0,28.75,2023,1,8.22
28.0,29.375,2023,1,8.36
28.0,30.0,2023,1,8.41
28.0,30.625,2023,1,8.07
28.0,31.25,2023,1,7.06
28.0,31.875,2023,1,5.76
28.0,32.5,2023,1,6.43
28.0,33.125,2023,1,10.38
28.0,33.75,2023,1,16.05
28.5,25.625,2023,1,9.68
28.5,26.25,2023,1,9.86
28.5,26.875,2023,1,9.45
28.5,27.5,2023,1,8.42
28.5,28.125,2023,1,8.06
28.5,28.75,2023,1,8.42
28.5,29.375,2023,1,8.89
28.5,30.0,2023,1,9.08
28.5,30.625,2023,1,8.77
28.5,31.25,2023,1,7.34
28.5,31.875,2023,1,6.98
28.5,32.5,2023,1,7.54
28.5,33.125,2023,1,16.2
28.5,33.75,2023,1,6.73
29.0,25.625,2023,1,10.08
29.0,26.25,2023,1,10.44
29.0,26.875,2023,1,9.81
29.0,27.5,2023,1,9.21
29.0,28.125,2023,1,8.49
29.0,28.75,2023,1,8.38
29.0,29.375,2023,1,8.97
29.0,30.0,2023,1,9.44
29.0,30.625,2023,1,9.49
29.0,31.25,2023,1,8.03
29.0,31.875,2023,1,7.58
29.0,32.5,2023,1,11.15
29.0,33.125,2023,1,13.45
29.0,33.75,2023,1,5.58
29.5,25.625,2023,1,10.3
29.5,26.25,2023,1,10.42
29.5,26.875,2023,1,10.31
29.5,27.5,2023,1,9.81
29.5,28.125,2023,1,9.54
29.5,28.75,2023,1,9.58
29.5,29.375,2023,1,8.93
29.5,30.0,2023,1,9.23
29.5,30.625,2023,1,10.61
29.5,31.25,2023,1,9.37
29.5,31.875,2023,1,7.83
29.5,32.5,2023,1,11.81
29.5,33.125,2023,1,8.28
29.5,33.75,2023,1,6.04
30.0,25.625,2023,1,10.24
30.0,26.25,2023,1,9.83
30.0,26.875,2023,1,10.22
30.0,27.5,2023,1,10.9
30.0,28.125,2023,1,11.2
30.0,28.75,2023,1,10.56
30.0,29.375,2023,1,10.25
30.0,30.0,2023,1,9.68
30.0,30.625,2023,1,10.78
30.0,31.25,2023,1,10.54
30.0,31.875,2023,1,9.11
30.0,32.5,2023,1,10.03
30.0,33.125,2023,1,6.97
30.0,33.75,2023,1,7.0
30.5,25.625,2023,1,9.68
30.5,26.25,2023,1,9.64
30.5,26.875,2023,1,9.4
30.5,27.5,2023,1,10.04
30.5,28.125,2023,1,11.76
30.5,28.75,2023,1,12.51
30.5,29.375,2023,1,12.07
30.5,30.0,2023,1,11.41
30.5,30.625,2023,1,11.79
30.5,31.25,2023,1,11.93
30.5,31.875,2023,1,11.68
30.5,32.5,2023,1,10.81
30.5,33.125,2023,1,8.2
30.5,33.75,2023,1,7.49
