-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M
23.0,25.625,2023,1,9.74
23.0,26.25,2023,1,9.42
23.0,26.875,2023,1,11.45
23.0,27.5,2023,1,12.15
23.0,28.125,2023,1,12.72
23.0,28.75,2023,1,13.11
23.0,29.375,2023,1,13.47
23.0,30.0,2023,1,13.79
23.0,30.625,2023,1,13.38
23.0,31.25,2023,1,13.76
23.0,31.875,2023,1,13.75
23.0,32.5,2023,1,14.63
23.0,33.125,2023,1,15.55
23.0,33.75,2023,1,15.93
23.5,25.625,2023,1,9.01
23.5,26.25,2023,1,8.16
23.5,26.875,2023,1,10.45
23.5,27.5,2023,1,11.51
23.5,28.125,2023,1,12.37
23.5,28.75,2023,1,12.94
23.5,29.375,2023,1,13.33
23.5,30.0,2023,1,13.77
23.5,30.625,2023,1,13.19
23.5,31.25,2023,1,12.76
23.5,31.875,2023,1,12.86
23.5,32.5,2023,1,14.58
23.5,33.125,2023,1,15.23
23.5,33.75,2023,1,14.88
24.0,25.625,2023,1,8.37
24.0,26.25,2023,1,8.09
24.0,26.875,2023,1,9.78
24.0,27.5,2023,1,11.28
24.0,28.125,2023,1,12.05
24.0,28.75,2023,1,12.71
24.0,29.375,2023,1,12.75
24.0,30.0,2023,1,13.48
24.0,30.625,2023,1,12.52
24.0,31.25,2023,1,11.8
24.0,31.875,2023,1,11.67
24.0,32.5,2023,1,13.92
24.0,33.125,2023,1,14.26
24.0,33.75,2023,1,15.02
24.5,25.625,2023,1,9.35
24.5,26.25,2023,1,8.91
24.5,26.875,2023,1,9.5
24.5,27.5,2023,1,10.74
24.5,28.125,2023,1,11.88
24.5,28.75,2023,1,12.46
24.5,29.375,2023,1,12.38
24.5,30.0,2023,1,13.25
24.5,30.625,2023,1,12.59
24.5,31.25,2023,1,11.18
24.5,31.875,2023,1,11.18
24.5,32.5,2023,1,13.42
24.5,33.125,2023,1,14.19
24.5,33.75,2023,1,15.2
25.0,25.625,2023,1,10.36
25.0,26.25,2023,1,9.58
25.0,26.875,2023,1,10.0
25.0,27.5,2023,1,11.26
25.0,28.125,2023,1,12.23
25.0,28.75,2023,1,12.44
25.0,29.375,2023,1,12.73
25.0,30.0,2023,1,13.58
25.0,30.625,2023,1,12.72
25.0,31.25,2023,1,10.8
25.0,31.875,2023,1,10.77
25.0,32.5,2023,1,12.95
25.0,33.125,2023,1,13.54
25.0,33.75,2023,1,14.98
25.5,25.625,2023,1,10.6
25.5,26.25,2023,1,10.12
25.5,26.875,2023,1,10.76
25.5,27.5,2023,1,11.72
25.5,28.125,2023,1,12.79
25.5,28.75,2023,1,12.66
25.5,29.375,2023,1,11.94
25.5,30.0,2023,1,12.1
25.5,30.625,2023,1,12.3
25.5,31.25,2023,1,10.2
25.5,31.875,2023,1,10.64
25.5,32.5,2023,1,12.34
25.5,33.125,2023,1,12.53
25.5,33.75,2023,1,14.58
26.0,25.625,2023,1,11.16
26.0,26.25,2023,1,10.92
26.0,26.875,2023,1,11.52
26.0,27.5,2023,1,12.34
26.0,28.125,2023,1,12.8
26.0,28.75,2023,1,12.19
26.0,29.375,2023,1,11.75
26.0,30.0,2023,1,11.56
26.0,30.625,2023,1,11.31
26.0,31.25,2023,1,10.44
26.0,31.875,2023,1,11.6
26.0,32.5,2023,1,12.71
26.0,33.125,2023,1,14.4
26.0,33.75,2023,1,14.6
26.5,25.625,2023,1,11.96
26.5,26.25,2023,1,11.78
26.5,26.875,2023,1,12.0
26.5,27.5,2023,1,12.57
26.5,28.125,2023,1,12.97
26.5,28.75,2023,1,12.73
26.5,29.375,2023,1,12.28
26.5,30.0,2023,1,11.89
26.5,30.625,2023,1,11.61
26.5,31.25,2023,1,11.16
26.5,31.875,2023,1,12.53
26.5,32.5,2023,1,12.41
26.5,33.125,2023,1,13.85
26.5,33.75,2023,1,15.52
27.0,25.625,2023,1,12.68
27.0,26.25,2023,1,12.46
27.0,26.875,2023,1,12.65
27.0,27.5,2023,1,12.76
27.0,28.125,2023,1,13.47
27.0,28.75,2023,1,13.18
27.0,29.375,2023,1,12.68
27.0,30.0,2023,1,12.55
27.0,30.625,2023,1,12.32
27.0,31.25,2023,1,12.78
27.0,31.875,2023,1,11.37
27.0,32.5,2023,1,12.11
27.0,33.125,2023,1,13.57
27.0,33.75,2023,1,17.11
27.5,25.625,2023,1,13.03
27.5,26.25,2023,1,13.38
27.5,26.875,2023,1,13.33
27.5,27.5,2023,1,12.86
27.5,28.125,2023,1,13.47
27.5,28.75,2023,1,13.0
27.5,29.375,2023,1,12.98
27.5,30.0,2023,1,13.23
27.5,30.625,2023,1,13.38
27.5,31.25,2023,1,12.59
27.5,31.875,2023,1,11.67
27.5,32.5,2023,1,12.67
27.5,33.125,2023,1,13.95
27.5,33.75,2023,1,19.57
28.0,25.625,2023,1,13.28
28.0,26.25,2023,1,13.67
28.0,26.875,2023,1,13.43
28.0,27.5,2023,1,12.94
28.0,28.125,2023,1,13.13
28.0,28.75,2023,1,13.11
28.0,29.375,2023,1,13.3
28.0,30.0,2023,1,13.79
28.0,30.625,2023,1,13.93
28.0,31.25,2023,1,12.66
28.0,31.875,2023,1,12.05
28.0,32.5,2023,1,12.43
28.0,33.125,2023,1,15.44
28.0,33.75,2023,1,19.03
28.5,25.625,2023,1,13.43
28.5,26.25,2023,1,13.65
28.5,26.875,2023,1,13.68
28.5,27.5,2023,1,13.26
28.5,28.125,2023,1,12.74
28.5,28.75,2023,1,13.0
28.5,29.375,2023,1,13.48
28.5,30.0,2023,1,13.96
28.5,30.625,2023,1,14.29
28.5,31.25,2023,1,13.3
28.5,31.875,2023,1,12.11
28.5,32.5,2023,1,12.39
28.5,33.125,2023,1,18.35
28.5,33.75,2023,1,12.37
29.0,25.625,2023,1,13.71
29.0,26.25,2023,1,14.09
29.0,26.875,2023,1,14.76
29.0,27.5,2023,1,14.31
29.0,28.125,2023,1,13.29
29.0,28.75,2023,1,12.98
29.0,29.375,2023,1,13.35
