-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,YEAR,DOY,RH2M
23.0,25.625,2023,1,64.29
23.0,26.25,2023,1,65.67
23.0,26.875,2023,1,60.59
23.0,27.5,2023,1,59.67
23.0,28.125,2023,1,59.58
23.0,28.75,2023,1,58.26
23.0,29.375,2023,1,57.23
23.0,30.0,2023,1,54.26
23.0,30.625,2023,1,57.01
23.0,31.25,2023,1,54.99
23.0,31.875,2023,1,52.08
23.0,32.5,2023,1,50.24
23.0,33.125,2023,1,45.86
23.0,33.75,2023,1,40.04
23.5,25.625,2023,1,68.98
23.5,26.25,2023,1,72.91
23.5,26.875,2023,1,65.01
23.5,27.5,2023,1,62.79
23.5,28.125,2023,1,61.76
23.5,28.75,2023,1,60.2
23.5,29.375,2023,1,58.99
23.5,30.0,2023,1,56.21
23.5,30.625,2023,1,60.04
23.5,31.25,2023,1,58.53
23.5,31.875,2023,1,53.41
23.5,32.5,2023,1,49.39
23.5,33.125,2023,1,44.89
23.5,33.75,2023,1,42.25
24.0,25.625,2023,1,74.38
24.0,26.25,2023,1,76.1
24.0,26.875,2023,1,69.21
24.0,27.5,2023,1,64.75
24.0,28.125,2023,1,64.09
24.0,28.75,2023,1,62.59
24.0,29.375,2023,1,62.47
24.0,30.0,2023,1,59.18
24.0,30.625,2023,1,64.92
24.0,31.25,2023,1,62.58
24.0,31.875,2023,1,58.26
24.0,32.5,2023,1,49.5
24.0,33.125,2023,1,47.46
24.0,33.75,2023,1,42.04
24.5,25.625,2023,1,73.11
24.5,26.25,2023,1,75.26
24.5,26.875,2023,1,71.66
24.5,27.5,2023,1,67.9
24.5,28.125,2023,1,66.14
24.5,28.75,2023,1,64.99
24.5,29.375,2023,1,65.02
24.5,30.0,2023,1,61.83
24.5,30.625,2023,1,66.31
24.5,31.25,2023,1,66.15
24.5,31.875,2023,1,61.48
24.5,32.5,2023,1,50.97
24.5,33.125,2023,1,48.73
24.5,33.75,2023,1,38.08
25.0,25.625,2023,1,70.94
25.0,26.25,2023,1,74.47
25.0,26.875,2023,1,71.28
25.0,27.5,2023,1,67.14
25.0,28.125,2023,1,66.31
25.0,28.75,2023,1,66.66
25.0,29.375,2023,1,65.16
25.0,30.0,2023,1,61.68
25.0,30.625,2023,1,66.41
25.0,31.25,2023,1,69.58
25.0,31.875,2023,1,65.24
25.0,32.5,2023,1,54.03
25.0,33.125,2023,1,48.91
25.0,33.75,2023,1,36.68
25.5,25.625,2023,1,73.04
25.5,26.25,2023,1,74.4
25.5,26.875,2023,1,69.79
25.5,27.5,2023,1,67.2
25.5,28.125,2023,1,66.37
25.5,28.75,2023,1,67.7
25.5,29.375,2023,1,68.8
25.5,30.0,2023,1,67.66
25.5,30.625,2023,1,68.76
25.5,31.25,2023,1,74.12
25.5,31.875,2023,1,68.04
25.5,32.5,2023,1,57.39
25.5,33.125,2023,1,48.03
25.5,33.75,2023,1,38.91
26.0,25.625,2023,1,73.14
26.0,26.25,2023,1,72.49
26.0,26.875,2023,1,68.09
26.0,27.5,2023,1,67.16
26.0,28.125,2023,1,67.74
26.0,28.75,2023,1,70.09
26.0,29.375,2023,1,70.77
26.0,30.0,2023,1,72.11
26.0,30.625,2023,1,73.83
26.0,31.25,2023,1,74.75
26.0,31.875,2023,1,64.98
26.0,32.5,2023,1,55.22
26.0,33.125,2023,1,38.01
26.0,33.75,2023,1,41.95
26.5,25.625,2023,1,72.21
26.5,26.25,2023,1,70.39
26.5,26.875,2023,1,68.21
26.5,27.5,2023,1,68.68
26.5,28.125,2023,1,68.28
26.5,28.75,2023,1,68.69
26.5,29.375,2023,1,69.94
26.5,30.0,2023,1,72.64
26.5,30.625,2023,1,74.05
26.5,31.25,2023,1,71.53
26.5,31.875,2023,1,60.79
26.5,32.5,2023,1,56.0
26.5,33.125,2023,1,44.59
26.5,33.75,2023,1,43.33
27.0,25.625,2023,1,71.98
27.0,26.25,2023,1,69.53
27.0,26.875,2023,1,68.17
27.0,27.5,2023,1,69.61
27.0,28.125,2023,1,67.43
27.0,28.75,2023,1,67.79
27.0,29.375,2023,1,69.72
27.0,30.0,2023,1,71.5
27.0,30.625,2023,1,71.95
27.0,31.25,2023,1,64.76
27.0,31.875,2023,1,66.03
27.0,32.5,2023,1,56.4
27.0,33.125,2023,1,47.87
27.0,33.75,2023,1,54.45
27.5,25.625,2023,1,73.05
27.5,26.25,2023,1,68.53
27.5,26.875,2023,1,67.9
27.5,27.5,2023,1,70.36
27.5,28.125,2023,1,68.1
27.5,28.75,2023,1,69.53
27.5,29.375,2023,1,69.78
27.5,30.0,2023,1,70.23
27.5,30.625,2023,1,69.37
27.5,31.25,2023,1,68.96
27.5,31.875,2023,1,64.24
27.5,32.5,2023,1,54.77
27.5,33.125,2023,1,59.21
27.5,33.75,2023,1,61.8
28.0,25.625,2023,1,73.9
28.0,26.25,2023,1,69.76
28.0,26.875,2023,1,69.88
28.0,27.5,2023,1,71.49
28.0,28.125,2023,1,70.5
28.0,28.75,2023,1,70.88
28.0,29.375,2023,1,70.31
28.0,30.0,2023,1,69.83
28.0,30.625,2023,1,70.19
28.0,31.25,2023,1,71.96
28.0,31.875,2023,1,62.16
28.0,32.5,2023,1,60.93
28.0,33.125,2023,1,65.26
28.0,33.75,2023,1,57.35
28.5,25.625,2023,1,73.97
28.5,26.25,2023,1,72.71
28.5,26.875,2023,1,71.79
28.5,27.5,2023,1,72.14
28.5,28.125,2023,1,73.72
28.5,28.75,2023,1,73.26
28.5,29.375,2023,1,71.87
28.5,30.0,2023,1,71.11
28.5,30.625,2023,1,71.29
28.5,31.25,2023,1,72.26
28.5,31.875,2023,1,67.82
28.5,32.5,2023,1,68.19
28.5,33.125,2023,1,66.4
28.5,33.75,2023,1,62.49
29.0,25.625,2023,1,73.99
29.0,26.25,2023,1,73.23
29.0,26.875,2023,1,69.81
29.0,27.5,2023,1,70.87
29.0,28.125,2023,1,73.89
29.0,28.75,2023,1,74.98
29.0,29.375,2023,1,74.56
29.0,30.0,2023,1,73.3
29.0,30.625,2023,1,72.83
29.0,31.25,2023,1,73.78
29.0,31.875,2023,1,73.39
29.0,32.5,2023,1,74.17
29.0,33.125,2023,1,60.25
29.0,33.75,2023,1,69.68
29.5,25.625,2023,1,75.12
29.5,26.25,2023,1,73.45
29.5,26.875,2023,1,69.84
29.5,27.5,2023,1,70.54
29.5,28.125,2023,1,73.36
29.5,28.75,2023,1,74.76
29.5,29.375,2023,1,76.75
29.5,30.0,2023,1,76.5
29.5,30.625,2023,1,73.43
29.5,31.25,2023,1,76.18
29.5,31.875,2023,1,79.7
29.5,32.5,2023,1,75.58
29.5,33.125,2023,1,63.61
29.5,33.75,2023,1,73.61
30.0,25.625,2023,1,76.66
30.0,26.25,2023,1,76.52
30.0,26.875,2023,1,72.53
30.0,27.5,2023,1,67.68
30.0,28.125,2023,1,69.47
30.0,28.75,2023,1,73.4
30.0,29.375,2023,1,75.91
30.0,30.0,2023,1,76.35
30.0,30.625,2023,1,74.95
30.0,31.25,2023,1,76.77
30.0,31.875,2023,1,80.85
30.0,32.5,2023,1,73.82
30.0,33.125,2023,1,72.81
30.0,33.75,2023,1,74.43
30.5,25.625,2023,1,78.45
30.5,26.25,2023,1,78.5
30.5,26.875,2023,1,76.11
30.5,27.5,2023,1,71.64
30.5,28.125,2023,1,68.67
30.5,28.75,2023,1,68.47
30.5,29.375,2023,1,73.05
30.5,30.0,2023,1,73.58
30.5,30.625,2023,1,73.53
30.5,31.25,2023,1,74.38
30.5,31.875,2023,1,75.3
30.5,32.5,2023,1,73.22
30.5,33.125,2023,1,75.66
30.5,33.75,2023,1,74.64
31.0,25.625,2023,1,81.53
31.0,26.25,2023,1,78.51
31.0,26.875,2023,1,75.37
31.0,27.5,2023,1,71.34
31.0,28.125,2023,1,70.22
31.0,28.75,2023,1,70.09
31.0,29.375,2023,1,72.65
31.0,30.0,2023,1,73.51
31.0,30.625,2023,1,74.1
31.0,31.25,2023,1,72.76
31.0,31.875,2023,1,72.35
31.0,32.5,2023,1,73.66
31.0,33.125,2023,1,74.21
31.0,33.75,2023,1,69.98
31.5,25.625,2023,1,73.67
31.5,26.25,2023,1,73.03
31.5,26.875,2023,1,71.77
31.5,27.5,2023,1,71.2
31.5,28.125,2023,1,70.63
31.5,28.75,2023,1,70.47
31.5,29.375,2023,1,71.06
31.5,30.0,2023,1,72.56
31.5,30.625,2023,1,72.11
31.5,31.25,2023,1,72.61
31.5,31.875,2023,1,72.58
31.5,32.5,2023,1,71.52
31.5,33.125,2023,1,69.56
31.5,33.75,2023,1,69.36
23.0,25.625,2023,2,65.29
23.0,26.25,2023,2,65.02
23.0,26.875,2023,2,59.98
23.0,27.5,2023,2,58.12
23.0,28.125,2023,2,56.56
23.0,28.75,2023,2,55.1
23.0,29.375,2023,2,54.4
23.0,30.0,2023,2,54.11
23.0,30.625,2023,2,57.27
23.0,31.25,2023,2,55.83
23.0,31.875,2023,2,53.51
23.0,32.5,2023,2,50.88
23.0,33.125,2023,2,39.76
23.0,33.75,2023,2,33.71
23.5,25.625,2023,2,68.15
23.5,26.25,2023,2,71.51
23.5,26.875,2023,2,65.66
23.5,27.5,2023,2,61.76
23.5,28.125,2023,2,59.19
