-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS2M_MIN     MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
-END HEADER-
LAT,LON,YEAR,DOY,WS2M_MIN
23.0,25.625,2023,1,2.16
23.0,26.25,2023,1,2.62
23.0,26.875,2023,1,2.68
23.0,27.5,2023,1,2.87
23.0,28.125,2023,1,2.81
23.0,28.75,2023,1,2.61
23.0,29.375,2023,1,2.46
23.0,30.0,2023,1,2.12
23.0,30.625,2023,1,1.73
23.0,31.25,2023,1,1.41
23.0,31.875,2023,1,1.57
23.0,32.5,2023,1,1.7
23.0,33.125,2023,1,1.69
23.0,33.75,2023,1,0.42
23.5,25.625,2023,1,2.43
23.5,26.25,2023,1,2.49
23.5,26.875,2023,1,2.91
23.5,27.5,2023,1,2.83
23.5,28.125,2023,1,2.92
23.5,28.75,2023,1,2.82
23.5,29.375,2023,1,2.86
23.5,30.0,2023,1,2.37
23.5,30.625,2023,1,1.75
23.5,31.25,2023,1,1.61
23.5,31.875,2023,1,1.88
23.5,32.5,2023,1,1.65
23.5,33.125,2023,1,1.42
23.5,33.75,2023,1,0.69
24.0,25.625,2023,1,1.84
24.0,26.25,2023,1,1.91
24.0,26.875,2023,1,2.64
24.0,27.5,2023,1,2.78
24.0,28.125,2023,1,2.94
24.0,28.75,2023,1,2.93
24.0,29.375,2023,1,2.97
24.0,30.0,2023,1,2.53
24.0,30.625,2023,1,1.51
24.0,31.25,2023,1,1.5
24.0,31.875,2023,1,1.84
24.0,32.5,2023,1,1.62
24.0,33.125,2023,1,1.25
24.0,33.75,2023,1,1.09
24.5,25.625,2023,1,1.39
24.5,26.25,2023,1,1.54
24.5,26.875,2023,1,2.17
24.5,27.5,2023,1,2.82
24.5,28.125,2023,1,2.84
24.5,28.75,2023,1,3.04
24.5,29.375,2023,1,2.93
24.5,30.0,2023,1,2.22
24.5,30.625,2023,1,1.21
24.5,31.25,2023,1,1.4
24.5,31.875,2023,1,1.76
24.5,32.5,2023,1,1.43
24.5,33.125,2023,1,1.19
24.5,33.75,2023,1,0.89
25.0,25.625,2023,1,1.39
25.0,26.25,2023,1,1.5
25.0,26.875,2023,1,1.91
25.0,27.5,2023,1,2.81
25.0,28.125,2023,1,2.81
