-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS2M_MAX     MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
-END HEADER-
LAT,LON,YEAR,DOY,WS2M_MAX
23.5,25.625,2024,1,3.62
23.5,26.25,2024,1,3.15
23.5,26.875,2024,1,3.27
23.5,27.5,2024,1,3.87
23.5,28.125,2024,1,4.05
23.5,28.75,2024,1,3.98
23.5,29.375,2024,1,4.18
23.5,30.0,2024,1,4.51
23.5,30.625,2024,1,4.22
23.5,31.25,2024,1,3.82
23.5,31.875,2024,1,4.56
23.5,32.5,2024,1,4.42
23.5,33.125,2024,1,3.53
23.5,33.75,2024,1,2.83
24.0,25.625,2024,1,3.25
24.0,26.25,2024,1,3.26
24.0,26.875,2024,1,3.44
24.0,27.5,2024,1,3.62
24.0,28.125,2024,1,3.88
24.0,28.75,2024,1,3.95
24.0,29.375,2024,1,4.1
24.0,30.0,2024,1,4.57
24.0,30.625,2024,1,4.23
24.0,31.25,2024,1,4.03
24.0,31.875,2024,1,4.2
24.0,32.5,2024,1,4.39
24.0,33.125,2024,1,3.38
24.0,33.75,2024,1,3.2
24.5,25.625,2024,1,2.79
24.5,26.25,2024,1,2.92
24.5,26.875,2024,1,3.33
24.5,27.5,2024,1,3.61
24.5,28.125,2024,1,3.84
24.5,28.75,2024,1,4.07
24.5,29.375,2024,1,3.95
24.5,30.0,2024,1,4.37
24.5,30.625,2024,1,4.27
24.5,31.25,2024,1,4.13
24.5,31.875,2024,1,4.08
24.5,32.5,2024,1,4.25
24.5,33.125,2024,1,3.49
24.5,33.75,2024,1,3.46
25.0,25.625,2024,1,2.8
25.0,26.25,2024,1,2.84
25.0,26.875,2024,1,3.13
25.0,27.5,2024,1,3.34
25.0,28.125,2024,1,3.75
25.0,28.75,2024,1,4.05
25.0,29.375,2024,1,3.95
25.0,30.0,2024,1,4.31
25.0,30.625,2024,1,4.47
25.0,31.25,2024,1,4.2
25.0,31.875,2024,1,3.78
25.0,32.5,2024,1,3.97
25.0,33.125,2024,1,3.62
25.0,33.75,2024,1,3.26
25.5,25.625,2024,1,2.68
25.5,26.25,2024,1,2.69
25.5,26.875,2024,1,2.95
25.5,27.5,2024,1,3.26
25.5,28.125,2024,1,3.59
25.5,28.75,2024,1,3.85
25.5,29.375,2024,1,3.92
25.5,30.0,2024,1,4.47
25.5,30.625,2024,1,4.57
25.5,31.25,2024,1,4.33
25.5,31.875,2024,1,3.56
25.5,32.5,2024,1,3.56
25.5,33.125,2024,1,3.02
25.5,33.75,2024,1,3.47
26.0,25.625,2024,1,2.32
26.0,26.25,2024,1,2.64
26.0,26.875,2024,1,3.01
26.0,27.5,2024,1,3.3
26.0,28.125,2024,1,3.62
26.0,28.75,2024,1,3.77
26.0,29.375,2024,1,3.69
26.0,30.0,2024,1,4.21
26.0,30.625,2024,1,4.41
26.0,31.25,2024,1,4.05
26.0,31.875,2024,1,3.66
26.0,32.5,2024,1,3.31
26.0,33.125,2024,1,3.1
26.0,33.75,2024,1,3.84
26.5,25.625,2024,1,2.26
26.5,26.25,2024,1,2.74
26.5,26.875,2024,1,3.15
26.5,27.5,2024,1,3.35
26.5,28.125,2024,1,3.52
26.5,28.75,2024,1,3.73
26.5,29.375,2024,1,3.67
26.5,30.0,2024,1,4.1
26.5,30.625,2024,1,4.22
26.5,31.25,2024,1,3.81
26.5,31.875,2024,1,3.64
26.5,32.5,2024,1,3.3
26.5,33.125,2024,1,3.76
26.5,33.75,2024,1,4.46
27.0,25.625,2024,1,2.39
27.0,26.25,2024,1,2.88
27.0,26.875,2024,1,3.21
27.0,27.5,2024,1,3.41
27.0,28.125,2024,1,3.42
27.0,28.75,2024,1,3.54
27.0,29.375,2024,1,3.52
27.0,30.0,2024,1,3.78
27.0,30.625,2024,1,3.93
27.0,31.25,2024,1,3.8
27.0,31.875,2024,1,3.38
27.0,32.5,2024,1,3.64
27.0,33.125,2024,1,4.05
27.0,33.75,2024,1,4.44
27.5,25.625,2024,1,2.73
27.5,26.25,2024,1,3.07
27.5,26.875,2024,1,3.24
27.5,27.5,2024,1,3.38
27.5,28.125,2024,1,3.46
27.5,28.75,2024,1,3.43
27.5,29.375,2024,1,3.29
27.5,30.0,2024,1,3.5
27.5,30.625,2024,1,3.87
27.5,31.25,2024,1,3.97
27.5,31.875,2024,1,3.55
27.5,32.5,2024,1,3.92
27.5,33.125,2024,1,4.16
27.5,33.75,2024,1,5.79
28.0,25.625,2024,1,3.14
28.0,26.25,2024,1,3.34
28.0,26.875,2024,1,3.33
28.0,27.5,2024,1,3.43
28.0,28.125,2024,1,3.56
28.0,28.75,2024,1,3.41
28.0,29.375,2024,1,3.26
28.0,30.0,2024,1,3.63
28.0,30.625,2024,1,4.02
28.0,31.25,2024,1,3.97
28.0,31.875,2024,1,3.82
28.0,32.5,2024,1,4.56
28.0,33.125,2024,1,5.57
28.0,33.75,2024,1,4.05
28.5,25.625,2024,1,3.49
28.5,26.25,2024,1,3.44
28.5,26.875,2024,1,3.21
28.5,27.5,2024,1,3.14
28.5,28.125,2024,1,3.32
28.5,28.75,2024,1,3.32
28.5,29.375,2024,1,3.21
28.5,30.0,2024,1,3.51
28.5,30.625,2024,1,3.89
28.5,31.25,2024,1,3.91
28.5,31.875,2024,1,3.82
28.5,32.5,2024,1,4.97
28.5,33.125,2024,1,4.68
28.5,33.75,2024,1,3.51
29.0,25.625,2024,1,3.46
29.0,26.25,2024,1,3.18
29.0,26.875,2024,1,2.7
29.0,27.5,2024,1,2.63
29.0,28.125,2024,1,2.99
29.0,28.75,2024,1,3.18
29.0,29.375,2024,1,3.27
29.0,30.0,2024,1,3.13
29.0,30.625,2024,1,3.46
29.0,31.25,2024,1,3.64
29.0,31.875,2024,1,4.34
29.0,32.5,2024,1,5.17
29.0,33.125,2024,1,4.06
29.0,33.75,2024,1,2.91
29.5,25.625,2024,1,3.15
29.5,26.25,2024,1,2.72
29.5,26.875,2024,1,2.29
29.5,27.5,2024,1,2.42
29.5,28.125,2024,1,2.74
29.5,28.75,2024,1,2.99
29.5,29.375,2024,1,3.07
29.5,30.0,2024,1,2.76
29.5,30.625,2024,1,3.25
29.5,31.25,2024,1,3.61
29.5,31.875,2024,1,3.89
29.5,32.5,2024,1,4.44
29.5,33.125,2024,1,5.22
29.5,33.75,2024,1,3.47
30.0,25.625,2024,1,2.97
30.0,26.25,2024,1,2.62
30.0,26.875,2024,1,2.41
30.0,27.5,2024,1,2.6
30.0,28.125,2024,1,2.69
30.0,28.75,2024,1,2.68
30.0,29.375,2024,1,2.55
30.0,30.0,2024,1,2.14
30.0,30.625,2024,1,2.52
30.0,31.25,2024,1,2.77
30.0,31.875,2024,1,2.87
30.0,32.5,2024,1,3.21
30.0,33.125,2024,1,3.92
30.0,33.75,2024,1,2.92
30.5,25.625,2024,1,3.09
30.5,26.25,2024,1,2.89
30.5,26.875,2024,1,2.88
30.5,27.5,2024,1,2.98
30.5,28.125,2024,1,2.74
30.5,28.75,2024,1,2.53
30.5,29.375,2024,1,2.51
30.5,30.0,2024,1,2.33
30.5,30.625,2024,1,2.83
30.5,31.25,2024,1,1.99
30.5,31.875,2024,1,2.09
30.5,32.5,2024,1,2.49
30.5,33.125,2024,1,2.7
30.5,33.75,2024,1,2.06
31.0,25.625,2024,1,3.55
31.0,26.25,2024,1,3.59
31.0,26.875,2024,1,3.59
31.0,27.5,2024,1,3.7
31.0,28.125,2024,1,3.22
31.0,28.75,2024,1,3.51
31.0,29.375,2024,1,3.74
31.0,30.0,2024,1,2.85
31.0,30.625,2024,1,2.34
31.0,31.25,2024,1,1.64
31.0,31.875,2024,1,2.14
31.0,32.5,2024,1,2.28
31.0,33.125,2024,1,2.23
31.0,33.75,2024,1,2.09
31.5,25.625,2024,1,4.73
31.5,26.25,2024,1,4.91
31.5,26.875,2024,1,5.27
31.5,27.5,2024,1,5.33
31.5,28.125,2024,1,6.0
31.5,28.75,2024,1,5.66
31.5,29.375,2024,1,5.43
