-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS2M_MIN     MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
-END HEADER-
LAT,LON,YEAR,DOY,WS2M_MIN
23.5,25.625,2024,1,1.48
23.5,26.25,2024,1,1.15
23.5,26.875,2024,1,1.67
23.5,27.5,2024,1,1.65
23.5,28.125,2024,1,1.77
23.5,28.75,2024,1,1.87
23.5,29.375,2024,1,1.72
23.5,30.0,2024,1,1.57
23.5,30.625,2024,1,1.92
23.5,31.25,2024,1,2.31
23.5,31.875,2024,1,1.44
23.5,32.5,2024,1,1.55
23.5,33.125,2024,1,1.77
23.5,33.75,2024,1,1.21
24.0,25.625,2024,1,1.53
24.0,26.25,2024,1,0.94
24.0,26.875,2024,1,1.27
24.0,27.5,2024,1,1.79
24.0,28.125,2024,1,1.89
24.0,28.75,2024,1,1.93
24.0,29.375,2024,1,1.8
24.0,30.0,2024,1,1.58
24.0,30.625,2024,1,1.78
24.0,31.25,2024,1,2.16
24.0,31.875,2024,1,1.36
24.0,32.5,2024,1,1.36
24.0,33.125,2024,1,1.4
24.0,33.75,2024,1,0.99
24.5,25.625,2024,1,1.31
24.5,26.25,2024,1,1.0
24.5,26.875,2024,1,1.04
24.5,27.5,2024,1,1.5
24.5,28.125,2024,1,1.72
24.5,28.75,2024,1,1.64
24.5,29.375,2024,1,1.82
24.5,30.0,2024,1,1.65
24.5,30.625,2024,1,1.73
24.5,31.25,2024,1,2.09
24.5,31.875,2024,1,1.5
24.5,32.5,2024,1,1.33
24.5,33.125,2024,1,1.22
24.5,33.75,2024,1,1.32
25.0,25.625,2024,1,1.11
25.0,26.25,2024,1,0.98
25.0,26.875,2024,1,0.89
25.0,27.5,2024,1,1.23
25.0,28.125,2024,1,1.38
25.0,28.75,2024,1,1.23
25.0,29.375,2024,1,1.63
25.0,30.0,2024,1,1.82
25.0,30.625,2024,1,1.83
25.0,31.25,2024,1,1.95
25.0,31.875,2024,1,1.94
25.0,32.5,2024,1,1.78
25.0,33.125,2024,1,1.33
25.0,33.75,2024,1,1.58
25.5,25.625,2024,1,1.07
25.5,26.25,2024,1,0.76
25.5,26.875,2024,1,0.71
25.5,27.5,2024,1,1.08
25.5,28.125,2024,1,1.26
25.5,28.75,2024,1,1.32
25.5,29.375,2024,1,1.74
25.5,30.0,2024,1,1.94
25.5,30.625,2024,1,1.84
25.5,31.25,2024,1,1.84
25.5,31.875,2024,1,1.58
25.5,32.5,2024,1,1.39
25.5,33.125,2024,1,1.21
25.5,33.75,2024,1,1.6
26.0,25.625,2024,1,1.07
26.0,26.25,2024,1,0.93
26.0,26.875,2024,1,1.08
26.0,27.5,2024,1,1.16
26.0,28.125,2024,1,1.36
26.0,28.75,2024,1,1.41
26.0,29.375,2024,1,1.46
26.0,30.0,2024,1,1.63
26.0,30.625,2024,1,1.84
26.0,31.25,2024,1,1.48
26.0,31.875,2024,1,1.13
26.0,32.5,2024,1,1.22
26.0,33.125,2024,1,1.32
26.0,33.75,2024,1,0.87
26.5,25.625,2024,1,0.97
26.5,26.25,2024,1,1.11
26.5,26.875,2024,1,1.13
26.5,27.5,2024,1,1.24
26.5,28.125,2024,1,1.21
26.5,28.75,2024,1,1.34
26.5,29.375,2024,1,1.54
26.5,30.0,2024,1,1.51
26.5,30.625,2024,1,1.6
26.5,31.25,2024,1,1.18
26.5,31.875,2024,1,1.42
26.5,32.5,2024,1,1.5
26.5,33.125,2024,1,0.92
26.5,33.75,2024,1,0.45
27.0,25.625,2024,1,0.64
27.0,26.25,2024,1,0.62
27.0,26.875,2024,1,1.0
27.0,27.5,2024,1,1.2
27.0,28.125,2024,1,1.13
27.0,28.75,2024,1,1.46
27.0,29.375,2024,1,1.51
27.0,30.0,2024,1,1.44
27.0,30.625,2024,1,1.32
27.0,31.25,2024,1,1.03
27.0,31.875,2024,1,2.03
27.0,32.5,2024,1,0.94
27.0,33.125,2024,1,0.79
27.0,33.75,2024,1,1.75
27.5,25.625,2024,1,0.09
27.5,26.25,2024,1,0.77
27.5,26.875,2024,1,1.06
27.5,27.5,2024,1,1.22
27.5,28.125,2024,1,1.31
27.5,28.75,2024,1,1.45
27.5,29.375,2024,1,1.49
27.5,30.0,2024,1,1.49
27.5,30.625,2024,1,1.29
27.5,31.25,2024,1,1.24
27.5,31.875,2024,1,1.93
27.5,32.5,2024,1,0.85
27.5,33.125,2024,1,1.13
27.5,33.75,2024,1,2.67
28.0,25.625,2024,1,0.79
28.0,26.25,2024,1,0.87
28.0,26.875,2024,1,0.94
28.0,27.5,2024,1,1.1
28.0,28.125,2024,1,1.15
28.0,28.75,2024,1,1.14
28.0,29.375,2024,1,1.37
28.0,30.0,2024,1,1.54
28.0,30.625,2024,1,1.47
28.0,31.25,2024,1,1.36
28.0,31.875,2024,1,1.81
28.0,32.5,2024,1,1.32
28.0,33.125,2024,1,2.09
28.0,33.75,2024,1,1.96
28.5,25.625,2024,1,1.11
28.5,26.25,2024,1,1.15
28.5,26.875,2024,1,1.14
28.5,27.5,2024,1,0.83
28.5,28.125,2024,1,0.55
28.5,28.75,2024,1,0.97
28.5,29.375,2024,1,1.37
28.5,30.0,2024,1,1.52
28.5,30.625,2024,1,1.36
28.5,31.25,2024,1,1.29
28.5,31.875,2024,1,1.37
28.5,32.5,2024,1,1.4
28.5,33.125,2024,1,2.84
28.5,33.75,2024,1,0.5
29.0,25.625,2024,1,1.18
29.0,26.25,2024,1,1.2
29.0,26.875,2024,1,0.85
29.0,27.5,2024,1,0.49
29.0,28.125,2024,1,0.39
29.0,28.75,2024,1,0.94
29.0,29.375,2024,1,1.33
29.0,30.0,2024,1,1.41
29.0,30.625,2024,1,1.25
29.0,31.25,2024,1,1.25
29.0,31.875,2024,1,1.15
29.0,32.5,2024,1,2.62
29.0,33.125,2024,1,2.04
29.0,33.75,2024,1,0.57
29.5,25.625,2024,1,1.25
29.5,26.25,2024,1,1.25
29.5,26.875,2024,1,0.61
29.5,27.5,2024,1,0.39
29.5,28.125,2024,1,0.51
29.5,28.75,2024,1,0.87
29.5,29.375,2024,1,1.05
29.5,30.0,2024,1,1.2
29.5,30.625,2024,1,1.34
29.5,31.25,2024,1,1.38
29.5,31.875,2024,1,1.17
29.5,32.5,2024,1,2.39
29.5,33.125,2024,1,1.61
29.5,33.75,2024,1,1.21
30.0,25.625,2024,1,1.16
30.0,26.25,2024,1,0.96
30.0,26.875,2024,1,0.53
30.0,27.5,2024,1,0.68
30.0,28.125,2024,1,0.42
30.0,28.75,2024,1,0.25
30.0,29.375,2024,1,0.74
30.0,30.0,2024,1,0.98
30.0,30.625,2024,1,0.95
30.0,31.25,2024,1,0.93
30.0,31.875,2024,1,0.88
30.0,32.5,2024,1,1.16
30.0,33.125,2024,1,1.37
30.0,33.75,2024,1,0.67
30.5,25.625,2024,1,0.91
30.5,26.25,2024,1,0.5
30.5,26.875,2024,1,0.25
30.5,27.5,2024,1,0.18
30.5,28.125,2024,1,0.35
30.5,28.75,2024,1,0.81
30.5,29.375,2024,1,0.9
30.5,30.0,2024,1,0.92
30.5,30.625,2024,1,0.91
30.5,31.25,2024,1,0.8
30.5,31.875,2024,1,0.81
30.5,32.5,2024,1,0.85
30.5,33.125,2024,1,1.01
30.5,33.75,2024,1,0.22
31.0,25.625,2024,1,0.88
31.0,26.25,2024,1,0.27
31.0,26.875,2024,1,0.41
31.0,27.5,2024,1,0.91
31.0,28.125,2024,1,1.3
31.0,28.75,2024,1,1.61
31.0,29.375,2024,1,1.61
31.0,30.0,2024,1,1.03
31.0,30.625,2024,1,0.91
31.0,31.25,2024,1,0.92
31.0,31.875,2024,1,1.13
31.0,32.5,2024,1,1.2
31.0,33.125,2024,1,1.4
31.0,33.75,2024,1,0.47
31.5,25.625,2024,1,1.85
31.5,26.25,2024,1,1.58
31.5,26.875,2024,1,1.52
31.5,27.5,2024,1,1.99
31.5,28.125,2024,1,2.38
31.5,28.75,2024,1,2.24
31.5,29.375,2024,1,1.84
31.5,30.0,2024,1,1.15
31.5,30.625,2024,1,0.96
31.5,31.25,2024,1,1.4
31.5,31.875,2024,1,1.84
31.5,32.5,2024,1,1.92
31.5,33.125,2024,1,1.21
31.5,33.75,2024,1,0.84
23.5,25.625,2024,2,0.78
23.5,26.25,2024,2,1.32
23.5,26.875,2024,2,1.39
23.5,27.5,2024,2,1.48
23.5,28.125,2024,2,1.57
23.5,28.75,2024,2,1.68
23.5,29.375,2024,2,1.74
