-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_SW_DWN
23.5,26.5,2024,1,17.4
23.5,27.5,2024,1,16.88
23.5,28.5,2024,1,16.72
23.5,29.5,2024,1,16.63
23.5,30.5,2024,1,16.68
23.5,31.5,2024,1,17.11
23.5,32.5,2024,1,16.95
23.5,33.5,2024,1,17.15
24.5,26.5,2024,1,16.73
24.5,27.5,2024,1,16.27
24.5,28.5,2024,1,16.17
24.5,29.5,2024,1,16.16
24.5,30.5,2024,1,16.12
24.5,31.5,2024,1,16.69
24.5,32.5,2024,1,16.46
24.5,33.5,2024,1,16.56
25.5,26.5,2024,1,15.59
25.5,27.5,2024,1,15.46
25.5,28.5,2024,1,15.6
25.5,29.5,2024,1,15.54
25.5,30.5,2024,1,15.54
25.5,31.5,2024,1,15.75
25.5,32.5,2024,1,15.53
25.5,33.5,2024,1,16.06
26.5,26.5,2024,1,15.38
26.5,27.5,2024,1,15.22
26.5,28.5,2024,1,15.07
26.5,29.5,2024,1,14.92
26.5,30.5,2024,1,15.04
26.5,31.5,2024,1,15.03
26.5,32.5,2024,1,14.9
26.5,33.5,2024,1,15.54
27.5,26.5,2024,1,14.5
27.5,27.5,2024,1,14.18
27.5,28.5,2024,1,14.12
27.5,29.5,2024,1,13.51
27.5,30.5,2024,1,14.22
27.5,31.5,2024,1,14.82
27.5,32.5,2024,1,14.69
27.5,33.5,2024,1,14.55
28.5,26.5,2024,1,13.42
28.5,27.5,2024,1,13.55
28.5,28.5,2024,1,13.5
28.5,29.5,2024,1,13.17
28.5,30.5,2024,1,13.57
28.5,31.5,2024,1,14.26
28.5,32.5,2024,1,14.27
28.5,33.5,2024,1,14.55
29.5,26.5,2024,1,12.26
29.5,27.5,2024,1,13.13
29.5,28.5,2024,1,13.0
29.5,29.5,2024,1,13.07
29.5,30.5,2024,1,13.22
29.5,31.5,2024,1,13.18
29.5,32.5,2024,1,13.44
29.5,33.5,2024,1,14.11
30.5,26.5,2024,1,11.45
30.5,27.5,2024,1,11.49
30.5,28.5,2024,1,12.32
30.5,29.5,2024,1,11.26
30.5,30.5,2024,1,12.24
30.5,31.5,2024,1,12.31
30.5,32.5,2024,1,12.13
30.5,33.5,2024,1,12.58
31.5,26.5,2024,1,7.7
31.5,27.5,2024,1,9.01
31.5,28.5,2024,1,9.35
31.5,29.5,2024,1,5.64
31.5,30.5,2024,1,8.78
31.5,31.5,2024,1,10.86
31.5,32.5,2024,1,9.61
31.5,33.5,2024,1,10.32
23.5,26.5,2024,2,18.16
23.5,27.5,2024,2,16.98
23.5,28.5,2024,2,17.01
23.5,29.5,2024,2,16.75
23.5,30.5,2024,2,17.08
23.5,31.5,2024,2,17.03
23.5,32.5,2024,2,16.9
23.5,33.5,2024,2,16.9
24.5,26.5,2024,2,17.3
24.5,27.5,2024,2,16.42
24.5,28.5,2024,2,16.3
24.5,29.5,2024,2,16.29
24.5,30.5,2024,2,16.41
24.5,31.5,2024,2,16.63
24.5,32.5,2024,2,16.48
24.5,33.5,2024,2,16.3
25.5,26.5,2024,2,15.79
25.5,27.5,2024,2,15.73
25.5,28.5,2024,2,16.36
25.5,29.5,2024,2,16.12
25.5,30.5,2024,2,16.0
25.5,31.5,2024,2,15.9
25.5,32.5,2024,2,15.62
25.5,33.5,2024,2,15.3
26.5,26.5,2024,2,15.29
26.5,27.5,2024,2,15.14
26.5,28.5,2024,2,15.93
