-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M
23.5,25.625,2024,1,12.48
23.5,26.25,2024,1,11.0
23.5,26.875,2024,1,12.23
23.5,27.5,2024,1,12.77
23.5,28.125,2024,1,13.62
23.5,28.75,2024,1,14.5
23.5,29.375,2024,1,15.0
23.5,30.0,2024,1,15.4
23.5,30.625,2024,1,15.46
23.5,31.25,2024,1,16.08
23.5,31.875,2024,1,16.17
23.5,32.5,2024,1,17.19
23.5,33.125,2024,1,17.82
23.5,33.75,2024,1,17.41
24.0,25.625,2024,1,11.48
24.0,26.25,2024,1,10.26
24.0,26.875,2024,1,11.44
24.0,27.5,2024,1,12.39
24.0,28.125,2024,1,13.11
24.0,28.75,2024,1,14.11
24.0,29.375,2024,1,14.49
24.0,30.0,2024,1,14.96
24.0,30.625,2024,1,14.85
24.0,31.25,2024,1,15.1
24.0,31.875,2024,1,15.02
24.0,32.5,2024,1,16.47
24.0,33.125,2024,1,16.98
24.0,33.75,2024,1,18.24
24.5,25.625,2024,1,11.48
24.5,26.25,2024,1,10.81
24.5,26.875,2024,1,10.88
24.5,27.5,2024,1,11.64
24.5,28.125,2024,1,12.65
24.5,28.75,2024,1,13.59
24.5,29.375,2024,1,13.89
24.5,30.0,2024,1,14.75
24.5,30.625,2024,1,15.01
24.5,31.25,2024,1,14.39
24.5,31.875,2024,1,14.5
24.5,32.5,2024,1,15.96
24.5,33.125,2024,1,17.49
24.5,33.75,2024,1,18.45
25.0,25.625,2024,1,11.46
25.0,26.25,2024,1,10.95
25.0,26.875,2024,1,11.03
25.0,27.5,2024,1,11.67
25.0,28.125,2024,1,12.55
25.0,28.75,2024,1,13.18
25.0,29.375,2024,1,14.25
25.0,30.0,2024,1,15.12
25.0,30.625,2024,1,15.17
25.0,31.25,2024,1,13.8
25.0,31.875,2024,1,13.72
25.0,32.5,2024,1,15.57
25.0,33.125,2024,1,17.09
25.0,33.75,2024,1,17.63
25.5,25.625,2024,1,11.13
25.5,26.25,2024,1,11.07
25.5,26.875,2024,1,11.37
25.5,27.5,2024,1,11.86
25.5,28.125,2024,1,12.96
25.5,28.75,2024,1,13.53
25.5,29.375,2024,1,13.25
25.5,30.0,2024,1,13.41
25.5,30.625,2024,1,14.53
25.5,31.25,2024,1,12.78
25.5,31.875,2024,1,13.3
25.5,32.5,2024,1,15.38
25.5,33.125,2024,1,15.99
25.5,33.75,2024,1,16.68
26.0,25.625,2024,1,11.31
26.0,26.25,2024,1,11.4
26.0,26.875,2024,1,11.8
26.0,27.5,2024,1,12.29
26.0,28.125,2024,1,12.81
26.0,28.75,2024,1,12.65
26.0,29.375,2024,1,12.56
26.0,30.0,2024,1,12.64
26.0,30.625,2024,1,13.2
26.0,31.25,2024,1,12.83
26.0,31.875,2024,1,14.46
26.0,32.5,2024,1,15.94
26.0,33.125,2024,1,16.77
26.0,33.75,2024,1,16.33
26.5,25.625,2024,1,11.94
26.5,26.25,2024,1,11.85
26.5,26.875,2024,1,11.93
26.5,27.5,2024,1,12.37
26.5,28.125,2024,1,12.56
26.5,28.75,2024,1,12.95
26.5,29.375,2024,1,12.79
26.5,30.0,2024,1,12.88
26.5,30.625,2024,1,13.21
26.5,31.25,2024,1,13.4
26.5,31.875,2024,1,15.61
26.5,32.5,2024,1,15.08
26.5,33.125,2024,1,15.72
26.5,33.75,2024,1,16.63
27.0,25.625,2024,1,12.34
27.0,26.25,2024,1,12.11
27.0,26.875,2024,1,12.45
27.0,27.5,2024,1,12.5
27.0,28.125,2024,1,13.07
27.0,28.75,2024,1,13.28
27.0,29.375,2024,1,12.96
27.0,30.0,2024,1,13.15
27.0,30.625,2024,1,13.59
27.0,31.25,2024,1,14.87
27.0,31.875,2024,1,13.64
27.0,32.5,2024,1,14.18
27.0,33.125,2024,1,14.56
27.0,33.75,2024,1,17.68
27.5,25.625,2024,1,12.65
27.5,26.25,2024,1,12.82
27.5,26.875,2024,1,12.85
27.5,27.5,2024,1,12.54
27.5,28.125,2024,1,12.96
27.5,28.75,2024,1,12.63
27.5,29.375,2024,1,13.03
27.5,30.0,2024,1,13.64
27.5,30.625,2024,1,14.31
27.5,31.25,2024,1,14.19
27.5,31.875,2024,1,13.05
27.5,32.5,2024,1,13.68
27.5,33.125,2024,1,14.44
27.5,33.75,2024,1,20.3
28.0,25.625,2024,1,12.89
28.0,26.25,2024,1,12.85
28.0,26.875,2024,1,12.83
28.0,27.5,2024,1,12.8
28.0,28.125,2024,1,12.76
28.0,28.75,2024,1,13.0
28.0,29.375,2024,1,13.41
28.0,30.0,2024,1,14.2
28.0,30.625,2024,1,14.64
28.0,31.25,2024,1,13.8
