-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,YEAR,DOY,RH2M
23.5,25.625,2024,1,53.34
23.5,26.25,2024,1,60.31
23.5,26.875,2024,1,58.04
23.5,27.5,2024,1,58.18
23.5,28.125,2024,1,57.36
23.5,28.75,2024,1,56.87
23.5,29.375,2024,1,57.95
23.5,30.0,2024,1,58.83
23.5,30.625,2024,1,58.85
23.5,31.25,2024,1,54.18
23.5,31.875,2024,1,51.29
23.5,32.5,2024,1,51.28
23.5,33.125,2024,1,46.93
23.5,33.75,2024,1,52.95
24.0,25.625,2024,1,58.41
24.0,26.25,2024,1,64.24
24.0,26.875,2024,1,61.05
24.0,27.5,2024,1,59.54
24.0,28.125,2024,1,58.93
24.0,28.75,2024,1,58.0
24.0,29.375,2024,1,59.81
24.0,30.0,2024,1,60.68
24.0,30.625,2024,1,62.77
24.0,31.25,2024,1,58.82
24.0,31.875,2024,1,56.94
24.0,32.5,2024,1,53.71
24.0,33.125,2024,1,50.92
24.0,33.75,2024,1,53.76
24.5,25.625,2024,1,60.36
24.5,26.25,2024,1,63.24
24.5,26.875,2024,1,63.65
24.5,27.5,2024,1,62.25
24.5,28.125,2024,1,60.6
24.5,28.75,2024,1,59.83
24.5,29.375,2024,1,62.08
24.5,30.0,2024,1,61.75
24.5,30.625,2024,1,63.58
24.5,31.25,2024,1,63.02
24.5,31.875,2024,1,60.77
24.5,32.5,2024,1,56.44
24.5,33.125,2024,1,51.15
24.5,33.75,2024,1,53.33
25.0,25.625,2024,1,61.75
25.0,26.25,2024,1,64.17
25.0,26.875,2024,1,64.12
25.0,27.5,2024,1,62.6
25.0,28.125,2024,1,61.24
25.0,28.75,2024,1,62.12
25.0,29.375,2024,1,61.2
25.0,30.0,2024,1,60.57
25.0,30.625,2024,1,63.95
25.0,31.25,2024,1,67.22
25.0,31.875,2024,1,66.23
25.0,32.5,2024,1,59.19
25.0,33.125,2024,1,52.78
25.0,33.75,2024,1,53.67
25.5,25.625,2024,1,64.54
25.5,26.25,2024,1,65.35
25.5,26.875,2024,1,63.87
25.5,27.5,2024,1,62.0
25.5,28.125,2024,1,59.89
25.5,28.75,2024,1,61.35
25.5,29.375,2024,1,65.39
25.5,30.0,2024,1,67.57
25.5,30.625,2024,1,67.06
25.5,31.25,2024,1,72.63
25.5,31.875,2024,1,69.78
25.5,32.5,2024,1,60.24
25.5,33.125,2024,1,56.86
25.5,33.75,2024,1,56.03
26.0,25.625,2024,1,65.29
26.0,26.25,2024,1,64.62
26.0,26.875,2024,1,62.05
26.0,27.5,2024,1,59.78
26.0,28.125,2024,1,59.12
26.0,28.75,2024,1,64.58
26.0,29.375,2024,1,69.17
26.0,30.0,2024,1,72.3
26.0,30.625,2024,1,72.84
26.0,31.25,2024,1,73.64
26.0,31.875,2024,1,66.7
26.0,32.5,2024,1,59.16
26.0,33.125,2024,1,55.3
26.0,33.75,2024,1,59.11
26.5,25.625,2024,1,63.12
26.5,26.25,2024,1,62.42
26.5,26.875,2024,1,60.6
26.5,27.5,2024,1,58.34
26.5,28.125,2024,1,58.68
26.5,28.75,2024,1,62.96
26.5,29.375,2024,1,69.4
26.5,30.0,2024,1,72.8
26.5,30.625,2024,1,73.48
26.5,31.25,2024,1,72.22
26.5,31.875,2024,1,62.61
26.5,32.5,2024,1,62.35
26.5,33.125,2024,1,58.47
26.5,33.75,2024,1,63.48
27.0,25.625,2024,1,61.09
27.0,26.25,2024,1,61.04
27.0,26.875,2024,1,58.57
27.0,27.5,2024,1,57.41
27.0,28.125,2024,1,56.23
27.0,28.75,2024,1,60.73
27.0,29.375,2024,1,69.92
27.0,30.0,2024,1,73.42
27.0,30.625,2024,1,72.98
27.0,31.25,2024,1,68.35
27.0,31.875,2024,1,69.12
27.0,32.5,2024,1,65.51
27.0,33.125,2024,1,61.48
27.0,33.75,2024,1,67.74
27.5,25.625,2024,1,58.21
27.5,26.25,2024,1,57.97
27.5,26.875,2024,1,57.42
27.5,27.5,2024,1,57.72
27.5,28.125,2024,1,56.81
27.5,28.75,2024,1,62.85
27.5,29.375,2024,1,70.5
27.5,30.0,2024,1,72.64
27.5,30.625,2024,1,71.68
27.5,31.25,2024,1,70.94
27.5,31.875,2024,1,71.96
27.5,32.5,2024,1,67.61
27.5,33.125,2024,1,66.01
27.5,33.75,2024,1,62.95
28.0,25.625,2024,1,55.87
28.0,26.25,2024,1,56.35
28.0,26.875,2024,1,56.66
28.0,27.5,2024,1,56.78
28.0,28.125,2024,1,57.65
28.0,28.75,2024,1,63.49
28.0,29.375,2024,1,70.09
28.0,30.0,2024,1,71.34
28.0,30.625,2024,1,71.88
28.0,31.25,2024,1,73.31
28.0,31.875,2024,1,74.95
28.0,32.5,2024,1,72.33
28.0,33.125,2024,1,67.57
28.0,33.75,2024,1,61.3
28.5,25.625,2024,1,56.76
28.5,26.25,2024,1,56.23
28.5,26.875,2024,1,55.79
28.5,27.5,2024,1,55.22
28.5,28.125,2024,1,57.41
28.5,28.75,2024,1,65.64
28.5,29.375,2024,1,69.71
28.5,30.0,2024,1,72.26
28.5,30.625,2024,1,72.56
28.5,31.25,2024,1,72.52
28.5,31.875,2024,1,76.22
28.5,32.5,2024,1,78.09
28.5,33.125,2024,1,64.32
28.5,33.75,2024,1,66.12
29.0,25.625,2024,1,55.98
29.0,26.25,2024,1,53.09
29.0,26.875,2024,1,51.33
29.0,27.5,2024,1,50.37
29.0,28.125,2024,1,56.64
29.0,28.75,2024,1,68.25
29.0,29.375,2024,1,70.11
29.0,30.0,2024,1,73.58
29.0,30.625,2024,1,73.45
29.0,31.25,2024,1,72.77
29.0,31.875,2024,1,78.24
29.0,32.5,2024,1,77.58
29.0,33.125,2024,1,61.7
29.0,33.75,2024,1,62.46
29.5,25.625,2024,1,54.53
29.5,26.25,2024,1,52.4
29.5,26.875,2024,1,50.01
29.5,27.5,2024,1,53.19
29.5,28.125,2024,1,63.58
29.5,28.75,2024,1,70.54
29.5,29.375,2024,1,72.72
29.5,30.0,2024,1,76.07
