-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS2M     MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
LAT,LON,YEAR,DOY,WS2M
23.5,25.625,2024,1,2.38
23.5,26.25,2024,1,1.94
23.5,26.875,2024,1,2.37
23.5,27.5,2024,1,2.73
23.5,28.125,2024,1,3.04
23.5,28.75,2024,1,3.09
23.5,29.375,2024,1,3.14
23.5,30.0,2024,1,3.22
23.5,30.625,2024,1,3.02
23.5,31.25,2024,1,2.99
23.5,31.875,2024,1,3.08
23.5,32.5,2024,1,3.06
23.5,33.125,2024,1,2.59
23.5,33.75,2024,1,2.1
24.0,25.625,2024,1,2.13
24.0,26.25,2024,1,1.78
24.0,26.875,2024,1,2.19
24.0,27.5,2024,1,2.58
24.0,28.125,2024,1,2.9
24.0,28.75,2024,1,2.96
24.0,29.375,2024,1,3.1
24.0,30.0,2024,1,3.21
24.0,30.625,2024,1,2.85
24.0,31.25,2024,1,3.0
24.0,31.875,2024,1,2.93
24.0,32.5,2024,1,2.87
24.0,33.125,2024,1,2.31
24.0,33.75,2024,1,2.17
24.5,25.625,2024,1,1.82
24.5,26.25,2024,1,1.7
24.5,26.875,2024,1,2.0
24.5,27.5,2024,1,2.39
24.5,28.125,2024,1,2.65
24.5,28.75,2024,1,2.8
24.5,29.375,2024,1,2.94
24.5,30.0,2024,1,2.93
24.5,30.625,2024,1,2.78
24.5,31.25,2024,1,2.97
24.5,31.875,2024,1,2.9
24.5,32.5,2024,1,2.92
24.5,33.125,2024,1,2.34
24.5,33.75,2024,1,2.4
25.0,25.625,2024,1,1.73
25.0,26.25,2024,1,1.64
25.0,26.875,2024,1,1.78
25.0,27.5,2024,1,2.12
25.0,28.125,2024,1,2.41
25.0,28.75,2024,1,2.48
25.0,29.375,2024,1,2.73
25.0,30.0,2024,1,3.03
25.0,30.625,2024,1,2.93
25.0,31.25,2024,1,2.97
25.0,31.875,2024,1,2.86
25.0,32.5,2024,1,2.95
25.0,33.125,2024,1,2.43
25.0,33.75,2024,1,2.44
25.5,25.625,2024,1,1.57
25.5,26.25,2024,1,1.51
25.5,26.875,2024,1,1.66
25.5,27.5,2024,1,1.98
25.5,28.125,2024,1,2.21
25.5,28.75,2024,1,2.4
25.5,29.375,2024,1,2.76
25.5,30.0,2024,1,3.15
25.5,30.625,2024,1,2.98
25.5,31.25,2024,1,2.78
25.5,31.875,2024,1,2.61
25.5,32.5,2024,1,2.45
25.5,33.125,2024,1,2.11
25.5,33.75,2024,1,2.22
26.0,25.625,2024,1,1.44
26.0,26.25,2024,1,1.48
26.0,26.875,2024,1,1.73
26.0,27.5,2024,1,1.97
26.0,28.125,2024,1,2.25
26.0,28.75,2024,1,2.33
26.0,29.375,2024,1,2.46
26.0,30.0,2024,1,2.72
26.0,30.625,2024,1,2.81
26.0,31.25,2024,1,2.58
26.0,31.875,2024,1,2.41
26.0,32.5,2024,1,2.18
26.0,33.125,2024,1,1.93
26.0,33.75,2024,1,1.89
26.5,25.625,2024,1,1.4
26.5,26.25,2024,1,1.51
26.5,26.875,2024,1,1.73
26.5,27.5,2024,1,1.95
26.5,28.125,2024,1,2.04
26.5,28.75,2024,1,2.22
