-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M_MAX
23.5,25.625,2024,1,21.1
23.5,26.25,2024,1,20.35
23.5,26.875,2024,1,20.51
23.5,27.5,2024,1,20.31
23.5,28.125,2024,1,20.92
23.5,28.75,2024,1,21.81
23.5,29.375,2024,1,22.2
23.5,30.0,2024,1,22.74
23.5,30.625,2024,1,23.25
23.5,31.25,2024,1,24.09
23.5,31.875,2024,1,24.16
23.5,32.5,2024,1,24.74
23.5,33.125,2024,1,26.41
23.5,33.75,2024,1,25.63
24.0,25.625,2024,1,20.25
24.0,26.25,2024,1,18.35
24.0,26.875,2024,1,19.34
24.0,27.5,2024,1,19.91
24.0,28.125,2024,1,20.34
24.0,28.75,2024,1,21.35
24.0,29.375,2024,1,21.53
24.0,30.0,2024,1,22.17
24.0,30.625,2024,1,22.47
24.0,31.25,2024,1,22.86
24.0,31.875,2024,1,22.83
24.0,32.5,2024,1,24.15
24.0,33.125,2024,1,25.83
24.0,33.75,2024,1,26.5
24.5,25.625,2024,1,19.81
24.5,26.25,2024,1,18.37
24.5,26.875,2024,1,18.28
24.5,27.5,2024,1,18.79
24.5,28.125,2024,1,19.88
24.5,28.75,2024,1,20.88
24.5,29.375,2024,1,21.03
24.5,30.0,2024,1,22.07
24.5,30.625,2024,1,22.61
24.5,31.25,2024,1,21.96
24.5,31.875,2024,1,22.21
24.5,32.5,2024,1,23.56
24.5,33.125,2024,1,26.11
24.5,33.75,2024,1,26.77
25.0,25.625,2024,1,19.37
25.0,26.25,2024,1,18.14
25.0,26.875,2024,1,17.99
25.0,27.5,2024,1,18.75
25.0,28.125,2024,1,19.77
25.0,28.75,2024,1,20.51
25.0,29.375,2024,1,21.5
25.0,30.0,2024,1,22.28
25.0,30.625,2024,1,22.56
25.0,31.25,2024,1,21.09
25.0,31.875,2024,1,21.28
25.0,32.5,2024,1,23.28
25.0,33.125,2024,1,25.34
25.0,33.75,2024,1,25.86
25.5,25.625,2024,1,18.44
25.5,26.25,2024,1,18.01
25.5,26.875,2024,1,18.3
25.5,27.5,2024,1,18.96
25.5,28.125,2024,1,20.3
25.5,28.75,2024,1,20.75
25.5,29.375,2024,1,20.24
25.5,30.0,2024,1,20.27
25.5,30.625,2024,1,21.58
25.5,31.25,2024,1,19.71
25.5,31.875,2024,1,20.75
25.5,32.5,2024,1,23.45
25.5,33.125,2024,1,23.89
25.5,33.75,2024,1,24.92
26.0,25.625,2024,1,18.29
26.0,26.25,2024,1,18.32
26.0,26.875,2024,1,18.84
26.0,27.5,2024,1,19.46
26.0,28.125,2024,1,20.16
26.0,28.75,2024,1,19.88
26.0,29.375,2024,1,19.59
26.0,30.0,2024,1,19.39
26.0,30.625,2024,1,19.95
26.0,31.25,2024,1,19.78
26.0,31.875,2024,1,22.45
26.0,32.5,2024,1,24.16
26.0,33.125,2024,1,24.86
26.0,33.75,2024,1,24.3
26.5,25.625,2024,1,18.68
26.5,26.25,2024,1,18.63
26.5,26.875,2024,1,18.78
26.5,27.5,2024,1,19.58
26.5,28.125,2024,1,19.85
26.5,28.75,2024,1,20.06
26.5,29.375,2024,1,19.68
26.5,30.0,2024,1,19.39
26.5,30.625,2024,1,19.89
26.5,31.25,2024,1,20.63
26.5,31.875,2024,1,23.53
26.5,32.5,2024,1,22.97
26.5,33.125,2024,1,23.95
26.5,33.75,2024,1,23.21
27.0,25.625,2024,1,19.06
27.0,26.25,2024,1,18.65
27.0,26.875,2024,1,19.1
27.0,27.5,2024,1,19.63
27.0,28.125,2024,1,20.3
27.0,28.75,2024,1,20.27
27.0,29.375,2024,1,19.54
27.0,30.0,2024,1,19.72
27.0,30.625,2024,1,20.34
27.0,31.25,2024,1,22.23
27.0,31.875,2024,1,20.92
27.0,32.5,2024,1,21.84
27.0,33.125,2024,1,22.47
27.0,33.75,2024,1,21.99
27.5,25.625,2024,1,19.06
27.5,26.25,2024,1,19.17
27.5,26.875,2024,1,19.46
27.5,27.5,2024,1,19.48
27.5,28.125,2024,1,20.05
27.5,28.75,2024,1,19.47
27.5,29.375,2024,1,19.58
27.5,30.0,2024,1,20.24
27.5,30.625,2024,1,21.2
27.5,31.25,2024,1,21.06
27.5,31.875,2024,1,20.13
27.5,32.5,2024,1,20.95
27.5,33.125,2024,1,21.85
27.5,33.75,2024,1,22.6
28.0,25.625,2024,1,19.07
28.0,26.25,2024,1,19.26
28.0,26.875,2024,1,19.41
28.0,27.5,2024,1,19.55
28.0,28.125,2024,1,19.65
28.0,28.75,2024,1,19.81
28.0,29.375,2024,1,19.99
28.0,30.0,2024,1,20.71
28.0,30.625,2024,1,21.09
28.0,31.25,2024,1,20.41
28.0,31.875,2024,1,19.45
28.0,32.5,2024,1,19.36
28.0,33.125,2024,1,21.92
28.0,33.75,2024,1,21.93
28.5,25.625,2024,1,18.94
