-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M_MIN
23.5,25.625,2024,1,6.13
23.5,26.25,2024,1,4.38
23.5,26.875,2024,1,6.09
23.5,27.5,2024,1,7.04
23.5,28.125,2024,1,8.03
23.5,28.75,2024,1,8.84
23.5,29.375,2024,1,9.48
23.5,30.0,2024,1,9.51
23.5,30.625,2024,1,8.92
23.5,31.25,2024,1,9.78
23.5,31.875,2024,1,10.01
23.5,32.5,2024,1,10.83
23.5,33.125,2024,1,10.35
23.5,33.75,2024,1,10.98
24.0,25.625,2024,1,5.18
24.0,26.25,2024,1,4.94
24.0,26.875,2024,1,5.72
24.0,27.5,2024,1,6.64
24.0,28.125,2024,1,7.51
24.0,28.75,2024,1,8.45
24.0,29.375,2024,1,9.03
24.0,30.0,2024,1,9.08
24.0,30.625,2024,1,8.55
24.0,31.25,2024,1,9.33
24.0,31.875,2024,1,9.14
24.0,32.5,2024,1,10.23
24.0,33.125,2024,1,9.67
24.0,33.75,2024,1,12.07
24.5,25.625,2024,1,5.52
24.5,26.25,2024,1,5.95
24.5,26.875,2024,1,5.81
24.5,27.5,2024,1,6.1
24.5,28.125,2024,1,6.97
24.5,28.75,2024,1,7.81
24.5,29.375,2024,1,8.16
24.5,30.0,2024,1,8.65
24.5,30.625,2024,1,8.71
24.5,31.25,2024,1,8.88
24.5,31.875,2024,1,8.79
24.5,32.5,2024,1,10.0
24.5,33.125,2024,1,10.54
24.5,33.75,2024,1,12.17
25.0,25.625,2024,1,5.78
25.0,26.25,2024,1,6.36
25.0,26.875,2024,1,6.55
25.0,27.5,2024,1,6.15
25.0,28.125,2024,1,6.72
25.0,28.75,2024,1,7.12
25.0,29.375,2024,1,8.38
25.0,30.0,2024,1,9.42
25.0,30.625,2024,1,9.18
25.0,31.25,2024,1,8.43
25.0,31.875,2024,1,7.95
25.0,32.5,2024,1,9.63
25.0,33.125,2024,1,10.71
25.0,33.75,2024,1,11.4
25.5,25.625,2024,1,5.85
25.5,26.25,2024,1,6.51
25.5,26.875,2024,1,6.67
25.5,27.5,2024,1,6.36
25.5,28.125,2024,1,7.04
25.5,28.75,2024,1,7.61
25.5,29.375,2024,1,7.7
25.5,30.0,2024,1,8.0
25.5,30.625,2024,1,8.99
25.5,31.25,2024,1,7.38
25.5,31.875,2024,1,7.38
25.5,32.5,2024,1,9.04
25.5,33.125,2024,1,9.77
25.5,33.75,2024,1,10.22
26.0,25.625,2024,1,6.09
26.0,26.25,2024,1,6.49
26.0,26.875,2024,1,6.5
26.0,27.5,2024,1,6.68
26.0,28.125,2024,1,6.9
26.0,28.75,2024,1,6.97
26.0,29.375,2024,1,6.99
26.0,30.0,2024,1,7.17
26.0,30.625,2024,1,7.83
26.0,31.25,2024,1,7.28
26.0,31.875,2024,1,8.11
26.0,32.5,2024,1,9.41
26.0,33.125,2024,1,10.39
26.0,33.75,2024,1,9.94
26.5,25.625,2024,1,6.93
26.5,26.25,2024,1,7.08
26.5,26.875,2024,1,7.03
26.5,27.5,2024,1,6.87
26.5,28.125,2024,1,6.82
26.5,28.75,2024,1,7.51
26.5,29.375,2024,1,7.37
26.5,30.0,2024,1,7.51
26.5,30.625,2024,1,7.71
26.5,31.25,2024,1,7.5
26.5,31.875,2024,1,9.46
26.5,32.5,2024,1,9.58
26.5,33.125,2024,1,9.78
26.5,33.75,2024,1,11.01
27.0,25.625,2024,1,7.95
27.0,26.25,2024,1,8.13
27.0,26.875,2024,1,8.06
27.0,27.5,2024,1,7.2
27.0,28.125,2024,1,7.59
27.0,28.75,2024,1,7.93
27.0,29.375,2024,1,7.69
27.0,30.0,2024,1,7.84
27.0,30.625,2024,1,8.0
27.0,31.25,2024,1,9.05
27.0,31.875,2024,1,8.43
27.0,32.5,2024,1,9.14
27.0,33.125,2024,1,9.21
27.0,33.75,2024,1,14.36
27.5,25.625,2024,1,9.06
27.5,26.25,2024,1,9.07
27.5,26.875,2024,1,8.43
27.5,27.5,2024,1,7.49
27.5,28.125,2024,1,7.62
27.5,28.75,2024,1,7.4
27.5,29.375,2024,1,7.79
27.5,30.0,2024,1,8.46
27.5,30.625,2024,1,8.76
27.5,31.25,2024,1,8.65
27.5,31.875,2024,1,8.28
27.5,32.5,2024,1,9.02
27.5,33.125,2024,1,9.11
27.5,33.75,2024,1,18.33
28.0,25.625,2024,1,9.19
28.0,26.25,2024,1,8.49
28.0,26.875,2024,1,8.26
28.0,27.5,2024,1,8.15
28.0,28.125,2024,1,7.92
28.0,28.75,2024,1,7.85
